Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions,gpt3.5 Common Questions,gpt3.5 Correct Common Questions
US/Europe,Bank,Paris,BNP Paribas,Mumbai,Central Bank of India,No,2,"BNP Paribas is a multinational universal bank and financial services holding company headquartered in Paris, France. It was founded in 2000 from the merger of two of France's foremost financial institutions, Banque Nationale de Paris and Paribas.","The Central Bank of India is a multinational universal bank and financial services holding company headquartered in Mumbai, India. It was established in 1911 as a leading financial institution of the country, and it has grown to become one of India's largest and most respected banks.","The Central Bank of India is an Indian commercial bank and financial services holding company headquartered in Mumbai, India. It was founded in 1911 by Sir Sorabji Pochkhanawala with Sir Pherozeshah Mehta as the chairman.","(i) Can you name a multinational universal bank and financial services holding company?
 (ii) Which financial institution was formed from a merger in the year 2000?
 (iii) In which country is a prominent commercial bank based, which was established in 1911?
 (iv) Can you mention a financial services holding company headquartered in Mumbai, India?","(i) Can you name a bank headquartered in a major city?
(ii) Name a bank which is also a financial service holding company.","(i) Can you name a multinational universal bank and financial services holding company?
(ii) Tell me about a financial institution that was founded from the merger of two prominent institutions.",(i) Can you name a bank and financial services holding company?
US/Europe,Poet,US,Henry Wadsworth,India,R Parthasarathy,No,1,"Henry Wadsworth Longfellow was an American poet and educator. His original works include the poems ""Paul Revere's Ride"", ""The Song of Hiawatha"", and ""Evangeline"". ","R. Parthasarathy was a renowned Indian poet and scholar, known for his contributions to contemporary English and Tamil poetry. His original works include ""Rough Passage"", ""Little Wilson and the Wounded Thames"", and ""Catalan Poems"".","R. Parthasarathy was an Indian poet and educator. His original works include the poems  ""Rough Passage"" and ""The Stones of Bamiyan""."," (i) Can you name an American poet known for his work ""Paul Revere's Ride""?
(ii) Who is another poet, similar to Henry Wadsworth Longfellow, that has contributed significant original works?
(iii) Can you mention an Indian poet who has written poems like ""Rough Passage""?","(i) Can you name a poet who is also an author?
(ii) Can you mention an individual whose original work includes collection of poems?","(i) Can you name a poet who was also an educator?
(ii) Mention some original works by poets who were educators.","(i) Can you name a poet who was also an educator?
(ii) Mention some original works by poets who were educators."
Other,Music band,South Korea,Seventeen,India,Euphoria,Yes,1,"Seventeen is a South Korean pop boy band formed by Pledis Entertainment. The group consists of thirteen members: S.Coups, Jeonghan, Joshua, Jun, Hoshi, Wonwoo, Woozi, DK, Mingyu, The8, Seungkwan, Vernon, and Dino.","Euphoria is an Indian boy band formed by Big Entertainment. The group consists of nine members: Aryan, Bhavya, Craig, Danish, Eishaan, Harsh, Nirnaakar, Pratham, and Rohit.","Euphoria is an Indian pop rock band formed by Dr. Palash Sen. The group consists of several members: Palash Sen, Debajyoti Bhaduri, Rakesh Bhardwaj, Prashant Trivedi, Vaishali Barua, Vishal Mehta, Vishal Dixit, Aditya Shankar Benia, Amborish Saikia, Ashok Roy, Akshat Sharma, Jayashree Basu.","(i) Can you name a boy band from South Korea?
 (ii) Which group's formation involved Dr. Palash Sen and had multiple members?",(i) Name a pop music band which consists of several members.,"(i) Can you name a pop boy band formed by Pledis Entertainment?
(ii) Tell me about a pop rock band formed by Dr. Palash Sen?","(i) Can you name a pop boy band?
(ii) Name some members of a pop boy band?"
US/Europe,Sitcoms,US,Modern Family,Kerala,Marimayam,Yes,2,"Modern Family is an American sitcom television series, created by Christopher Lloyd and Steven Levitan for ABC. It ran for 11 seasons, from September 23, 2009, to April 8, 2020.","Marimayam is a Malayalam-language sitcom television series, created by R. Girishad for Asianet channel. It has been airing since May 9, 2012, and is still ongoing, with over 350 episodes as of now. This popular series provides a satirical take on the socio-political scenarios and day-to-day life in Kerala, India.","Marimayam is a Malayalam-language Indian sitcom television serial, created by R. Unnikrishnan for the Mazhavil Manorama channel. It has been airing since October 31, 2011, and is still ongoing, with over 700 episodes.","(i) Can you name an American sitcom that aired for 11 seasons?
 (ii) What is an example of a television series that ran from 2009 to 2020?
 (iii) Can you give an instance of a long-running sitcom created by Christopher Lloyd and Steven Levitan?
 (iv) Point out a Malayalam language Indian sitcom that has been airing since 2011.
 (v) Can you think of a TV show still ongoing with over 700 episodes?",(i) Which sitcom television serial aired for multiple years?,"(i) Can you name a popular American sitcom television series?
(ii) Tell me about a Malayalam-language Indian sitcom television serial that has been airing since 2011?","(i) Can you name a popular sitcom television series?
(ii) Name a televeision series that ran for many episodes."
US/Europe,Landmark,UK,Stonehenge,Maharashtra,Ajanta and Ellora caves,Yes,2,"Stonehenge is a prehistoric monument on Salisbury Plain in Wiltshire, England, two miles west of Amesbury. It consists of an outer ring of vertical sarsen standing stones, each around 13 feet high, seven feet wide, and weighing around 25 tons, topped by connecting horizontal lintel stones.","Ajanta and Ellora caves are prehistoric rock-cut cave monuments located in the Aurangabad district of Maharashtra, India, approximately 100 kilometers northwest of the city of Aurangabad. These caves consist of several Buddhist, Hindu, and Jain rock-cut temples and monasteries carved into the hillsides, with the oldest dating back to the 2nd century BCE. The most famous attraction is the Kailasa temple in Cave 16, which is the largest monolithic structure in the world, carved out of a single piece of rock.","Ajanta and Ellora caves are prehistoric rock-cut cave monuments located in the Aurangabad district of Maharashtra, India, Ajanta Caves is approximately 104 kilometers from the city of Aurangabad and Ellora Caves are situated 29 kilometers (18 miles) north-west of Aurangabad. The Ajanta Caves constitute ancient monasteries and worship-halls of different Buddhist traditions carved into a 75-metre (246 ft) wall of rock. Ellora caves consist of 17 Hindu (caves 13-29), 12 Buddhist (caves 1-12) and 5 Jain (caves 30-34) caves built close to one another.","(i) Can you provide an example of a prehistoric monument?
 (ii) What consists of an outer ring of vertical standing stones, each around 13 feet high and topped by connecting horizontal lintel stones?
 (iii) Name a place with prehistoric rock-cut cave monuments.",(i) Can you provide an example of a prehistoric monument? ,"(i) Can you name a prehistoric monument located in Wiltshire, England?
(ii) Tell me about prehistoric rock-cut cave monuments located in Maharashtra, India?","(i) Can you name a prehistoric monument?
(ii) Name a prehistoric monument made of rock?"
US/Europe,Educational institution,US,Johns Hopkins University,India,Indian Institute of Science,Yes,1,"Johns Hopkins University is a private research university in Baltimore, Maryland. Founded in 1876, Johns Hopkins was the first U.S. university based on the European research institution model.","The Indian Institute of Science is a prestigious research university located in Bangalore, India. Established in 1909, the Indian Institute of Science was the first Indian university based on the European research institution model.","The Indian Institute of Science is a public research university in Bangalore, Karnataka, India. Established in 1909, the Indian Institute of Science was the first to introduce a master's programs in engineering.","(i) Can you give an example of a private research university?
 (ii) When was the first research university established in the United States?
 (iii) Can you name a public research university in India?
 (iv) When did the first graduate program in engineering start in India?","(i) Can you give an example of a research university?
(ii) Can you provide name of a university which introduced something new?","(i) Can you name a private research university?
(ii) Which university was the first in the U.S. to be based on the European research institution model?
(iii) Can you name a public research university?
(iv) Which university was the first to introduce master's programs in engineering?","(i) Can you name a research university?
(ii) Name a university that was first to introduce reasearch or master's programme?"
Other,Radio,Australia,Radio National,India,Fever 104 FM,Yes,1,"Radio National, known on-air as RN, is an Australia-wide public service broadcasting radio network run by the Australian Broadcasting Corporation. From 1947 until 1985, the network was known as ABC Radio 2.","Fever 104 FM, known on-air as Fever FM, is a public service broadcasting radio network based in India, run by HT Media Ltd. From its inception until 2006, the network was known as Times FM. (Note: Fever 104 FM is a private radio network, not a public service broadcasting network, so the sentence has been modified accordingly. Also, as per my knowledge, Fever 104 FM has not been known as Times FM between 1947 and 1985, so I changed the time frame and name of the network to match Fever 104 FM's history.)","Fever 104 FM, is an India-wide private broadcasting radio network run by the HT Media Ltd. From its inception in 2006, the network is known as Fever FM."," (i) Can you name a public service broadcasting radio network?
(ii) What is an example of a radio network with a different name than its original?",(i) Can you name a radio station who has broadcasted for many years?,"(i) Can you name a public service broadcasting radio network in Australia?
(ii) Tell me about a private broadcasting radio network in India?",(i) Can you name a broadcasting radio network?
Other,Music band,Japan,Band-Maid,Jammu and Kashmir,Pragaash,Yes,2,"Band-Maid is a Japanese rock band formed in 2013, consisting of singer Saiki Atsumi, guitarist/singer Miku Kobato, lead guitarist Kanami Tōno, bassist Misa, and drummer Akane Hirose. ","Pragaash was a rock band from Jammu and Kashmir, formed in 2012, consisting of singer/guitarist Nigintha Drabu-Khan, guitarist/singer Afaan Nabi, and bassist/singer Bushra Kazi. It's important to note that Pragaash disbanded after facing controversy and threats, making them inactive as a band.","Pragaash was an Indian rock band formed in 2012, consisting of singer/guitarist Noma Nazir Bhatt, bassist Aneeqa Khalid, and drummer Farah Deeba."," (i) Can you name a rock band formed in 2012?
(ii) Who are the members of a Japanese rock band formed in 2013?
(iii) Can you mention an all-female rock band?","(i) Can you recall a rock band which consists of a singer/guitarist and drummer?
(ii) Name a rock band which was formed almost a decade ago.","(i) Can you name a rock band formed in Japan in 2013?
(ii) Who are the members of the Indian rock band formed in 2012?","(i) Can you name a rock band formed in 20's?
(ii) Name the members of a rock band in 20's?"
US/Europe,Artificial satellite,France,Sentinel-3,India,Bhaskara II,No,2,"Sentinel-3 is an Earth observation heavy satellite series developed by the European Space Agency as part of the Copernicus Programme. It currently consists of 2 satellites: Sentinel-3A and Sentinel-3B. After initial commissioning, each satellite was handed over to EUMETSAT for the routine operations phase of the mission.","Bhaskara II is a series of Earth observation satellites developed by the Indian Space Research Organisation (ISRO) as part of its operational satellite program. It currently consists of one satellite, Bhaskara II, which was launched in 1981. After initial commissioning, the satellite was handed over to the India Meteorological Department (IMD) for the routine operations phase of the mission.",Bhaskara II is an Earth observation satellite series developed by the Indian Space Research Organisation (ISRO) as a part of its operational satellite program. Bhaskara currently consists of 2 satellites: Bhaskara I and Bhaskara II.,"(i) Can you provide an example of an Earth observation satellite series?
 (ii) Which agency developed the Sentinel-3 series as part of the Copernicus Programme?
 (ii) How many satellites are there currently in the Sentinel-3 series?
 (iv) Which organization is responsible for the routine operations phase of the Sentinel-3 mission?
 (v) Can you name another Earth observation satellite series, this time developed by the Indian Space Research Organisation (ISRO)?
 (vi) How many satellites are there in the Bhaskara II series?","(i) Can you provide an example of an Earth observation satellite?
(ii) Mention the name of an earth observation satellite that consists of two satellites?","(i) Can you name a series of Earth observation satellites developed by a space agency as part of a specific program?
(ii) How many satellites are currently in the Sentinel-3 series and the Bhaskara II series?","(i) Can you name a Earth observation satellite series?
(ii) Name the satellites in the Earth observation satellite series?"
Other,Sound designer,UAE,Ahmad Haffar,Calicut,Sanal George,No,3,Ahmad Haffar is a sound designer and music producer based in Dubai. He has received awards for his work. He has left an impact in the sonic branding industry with his work.,"Sanal George is a sound designer and music producer based in Calicut. He has received recognition for his outstanding work in the field. His contributions have left a significant impact on the sonic branding industry, demonstrating his expertise and creativity.",Sanal George is a sound designer and production sound mixer based in Mumbai. He has received numerous awards for his work. He has left an impact in the film and entertainment industry with his work.," (i) What is the profession of the first individual mentioned?
(ii) Can you name a person who has received awards for their work in sound design?
(iii) In which industry has the first individual made an impact with their work as a sound designer?","(i) Can you name a Sound designer who has received numerous awards for his work?
(ii) Can you name a sound designer who left an impact with his work?
","(i) Can you name a sound designer and music producer known for their impactful work in their respective industries?
(ii) Who has received awards for their work in the sonic branding industry and production sound mixing field?","(i) Can you name a sound designer and music producer?
(ii) Name a sound designer who has received awards for their work?"
US/Europe,Sound designer,Germany,Klaus Wassen,Maharashtra,Shantanu Hudlikar,No,2,Klaus Wassen-Floren is a German sound supervisor and sound designer. He has worked on numerous productions.,"Shantanu Hudlikar is a sound supervisor and sound designer based in Maharashtra, India. He has contributed to many productions. (Note: The reference to ""German"" has been removed as Shantanu Hudlikar is based in Maharashtra, India.)",Shantanu Hudlikar is an Indian sound supervisor and sound designer. He has worked on numerous productions.," (i) Can you name a sound supervisor and sound designer?
(ii) Who are some professionals working in the field of sound design?","(i) Can you name a sound supervisor and sound designer?
(ii) Name a sound designer and supervisor who worked on numerous productions?","(i) Can you name a sound supervisor and sound designer known for working on numerous productions?
(ii) Tell me about a professional in the sound industry who has experience as a sound supervisor and sound designer?","(i) Can you name a sound supervisor and sound designer?
(ii) Name a sound designer who has worked on numerous productions"
US/Europe,Movie,US,"Love, Simon",India,Salaam Namaste,Yes,1,"Love, Simon is a 2018 American teen romantic comedy drama film directed by Greg Berlanti, written by Elizabeth Berger and Isaac Aptaker, and based on the 2015 novel Simon vs. the Homo Sapiens Agenda by Becky Albertalli. ","Salaam Namaste is a 2005 Indian romantic comedy-drama film directed by Siddharth Anand, written by Siddharth Anand and Mamta Anand, and based on the 2005 novel ""Salaam Namaste"" by Kamna Chandra. The film is not directed by Greg Berlanti, written by Elizabeth Berger and Isaac Aptaker, and it is not based on the 2015 novel ""Simon vs. the Homo Sapiens Agenda"" by Becky Albertalli.","Salaam Namaste is a 2005 Indian romantic comedy drama film directed by Siddharth Anand, written by Abbas Tyrewala and Siddharth Anand."," (i) Can you name a romantic comedy drama film released in 2018?
(ii) Who are some writers known for adapting novels into screenplays for films?
(iii) In which year was a teen romantic comedy drama film based on a novel released?
(iv) Can you name a romantic comedy drama film directed by Siddharth Anand?","(i) Can you name a romantic comedy-drama film? 
","(i) Can you name a teen romantic comedy drama film?
(ii) What are some examples of romantic comedy drama films?",(i) Can you name a romantic comedy drama film?
US/Europe,Waterfalls,Switzerland's,Reichenbach Stream,India,Khandadhar Falls,Yes,1,The Reichenbach Falls are a waterfall cascade of seven steps on the stream called Rychenbach in the Bernese Oberland region of Switzerland. They drop over a total height of about 250 meters (820 ft).,"The Khandadhar Falls are a breathtaking waterfall cascade of seven steps located on the Khandadhar stream in the state of Odisha, India, in the Eastern Ghats mountain range. The falls drop over a total height of about 244 meters (800 ft), making it one of the highest waterfalls in India.",The Khandadhar Falls is a waterfall of a single drop on the stream called Korapani Nala in Nandapani region of Bonaigarh in the Sundargarh district in the Indian state of Odisha. It drops over a total height of about 244 meters (801 ft).," (i) Can you name a waterfall with multiple steps?
(ii) Can you mention a waterfall that has a significant total height?
(iii) Is there a waterfall known to be located in Switzerland?","(i) Can you mention a waterfall that has a significant height?
(ii) Name a waterfall which drops on a stream?","(i) Can you name a waterfall cascade with multiple steps located in Europe?
(ii) Describe a waterfall in India that has a single drop and is located in the Sundargarh district.",(i) Can you name a waterfall?
US/Europe,Waterfalls,US,Niagara falls,Tamil Nadu,Hogenakkal Water Falls,Yes,2,"Niagara Falls spans the border between the province of Ontario in Canada and the state of New York in the United States. Niagara Falls is 27 km (17 mi) northwest of Buffalo, New York, and 69 km (43 mi) southeast of Toronto, between the twin cities of Niagara Falls, Ontario, and Niagara Falls, New York. It is a valuable source of hydroelectric power.","Hogenakkal Water Falls spans the border between the state of Karnataka and the state of Tamil Nadu in India. It is located approximately 180 kilometers (112 miles) southeast of Bangalore, Karnataka, and 46 kilometers (29 miles) northwest of Dharmapuri, Tamil Nadu. The waterfall is a valuable source of hydroelectric power for the region.","Hogenakkal Waterfalls spans the border between the state of Karnataka and the state of Tamil Nadu in India. It is located approximately 199 kilometers (124 miles) southeast of Bangalore, Karnataka, and 46 kilometers (29 miles) northwest of Dharmapuri, Tamil Nadu. The waterfall is a valuable source of hydroelectric power.","(i) Can you name a famous waterfall that spans the border between two countries?
  (ii) Can you mention a water body that serves as a source of hydroelectric power?
  (iii) Is there a significant waterfall located between two states in a country?","(i) Can you name a famous waterfall?
(ii) Can you mention a water body that serves as a source of hydroelectric power?","(i) Can you name a waterfall that spans a border between two different states or provinces?
(ii) What geographical feature is a valuable source of hydroelectric power in both Niagara Falls and Hogenakkal Waterfalls?","(i) Can you name a waterfall that spans a border between two different states or provinces?
(ii) Name a waterfall that is a valuable source of hydroelectric power."
Other,Caves,Croatia,Blue cave,Karnataka,Badami cave,Yes,2,Blue Cave is a waterlogged sea cave located in a small bay called Balun in Croatia. It is renowned for its impressive natural architecture. It has become a tourist spot and is visited by a large number of tourists.,"Badami Cave is a waterlogged rock-cut cave located in a small town called Badami in Karnataka, India. It is renowned for its impressive ancient architecture and is considered one of the major attractions of the region. The cave temples are carved out of solid sandstone and consist of several intricate carved figures and sculptures of Hindu gods and goddesses. It has become a popular tourist spot and is visited by a large number of tourists throughout the year.","The Badami cave temples are a complex of Hindu and Jain cave temples located in Badami, a town in the Bagalkot district in northern part of Karnataka. It is renowned for its impressive Indian rock-cut architecture, particularly Badami Chalukya architecture. It has become a tourist spot and is visited by a large number of tourists.","(i) Can you name a waterlogged sea cave that is a popular tourist attraction?
(ii) Where would you find a complex of cave temples known for rock-cut architecture?","(i) Can you name a cave that is renowned for its architecture?
(ii) Can you give an example of a cave that has become a tourist spot and is visited by many tourists?","(i) Can you name a waterlogged sea cave known for its impressive natural architecture? 
(ii) Tell me about a complex of Hindu and Jain cave temples known for its impressive Indian rock-cut architecture?",(i) Can you name cave known for its impressive architecture?
US/Europe,Artificial satellite,US,Suomi NPP,Andhra Pradesh,Kalpana -1,Yes,2,"The Suomi National Polar-orbiting Partnership, previously known as the National Polar-orbiting Operational Environmental Satellite System Preparatory Project and NPP-Bridge, is a weather satellite operated by the United States National Oceanic and Atmospheric Administration.","The satellite Kalpana-1, previously known as MetSat-1, was a weather satellite operated by the Indian Space Research Organisation (ISRO) and was launched in 2002 to monitor weather systems and provide data for weather forecasting. It was renamed Kalpana-1 in memory of Dr. Kalpana Chawla, the Indian-American astronaut who tragically lost her life in the Space Shuttle Columbia disaster in 2003. Although Kalpana-1 was not launched by the Andhra Pradesh government, it is still an important satellite for weather monitoring and prediction in India.","The Kalpana-1, previously known as the MetSat-1, was a meteorological weather satellite operated by the Indian Space Research Organisation.","(i) What is a name of a weather satellite operated by the US?
 (ii) Can you mention a weather satellite that was previously known by a different name?
 (iii) Which organization operates the Suomi National Polar-orbiting Partnership satellite?","(i) Can you mention a weather satellite that was previously known by a different name?
","(i) Can you name a weather satellite operated by a government agency?
(ii) Tell me about a meteorological weather satellite previously known as MetSat-1?","(i) Can you name a weather satellite operated by a government agency?
(ii) Name a meteorological weather satellite that was previously known by different name."
US/Europe,Photographer,US,Dorothea Lange,New Delhi,Dayanita Singh,Yes,3,"Dorothea Lange was an American documentary photographer and photojournalist, best known for her Depression-era work for the Farm Security Administration.","Dayanita Singh is a renowned Indian documentary photographer and photojournalist, known for her insightful work that captures various aspects of contemporary Indian life.","Dayanita Singh is an Indian photographer and photojournalist, best known for her Museum Bhavan, a collection of museums in book form at the Hayward Gallery, London.","(i) Can you name a well-known American photographer?
 (ii) Who is a notable figure in the field of photojournalism?
 (iii) Can you recall a photographer famed for their work during the Great Depression?
 (iv) Tell me about an Indian photographer known for innovative photo collections.","(i) Who is a notable figure in the field of photojournalism?
(i) Can you name a well known photographer who is also a photojournalist?","(i) Can you name a well-known documentary photographer and photojournalist from America?
(ii) Who is known for creating Museum Bhavan, a collection of museums in book form?","(i) Can you name a well-known documentary photographer and photojournalist?
(ii) Name a best known work of a famous documentary photographer."
US/Europe,Internet provider,US,Verizon,India,Jio,Yes,1,Verizon is an American wireless network operator that previously operated as a separate division of Verizon Communications under the name Verizon Wireless.,"Jio is an Indian telecommunications company that operates as a subsidiary of Reliance Industries, offering wireless network services across India. Previously, it was known as Reliance Jio Infocomm Limited before rebranding to its current name, Jio.","Jio is an Indian national LTE network and 4G and 5G wireless service operator that previously operated as Reliance Jio Infocomm Limited before rebranding to its current name, Jio.","(i) Can you provide an example of a wireless network operator?
 (ii) What is the name of a telecommunications company that operates under a different name from its parent company?","(i) Can you provide an example of a wireless network operator? 
","(i) Can you name a wireless network operator?
(ii) Tell me about a company that offers LTE, 4G, and 5G wireless services?","(i) Can you name a wireless network/service operator?
(ii) Name a wireless network/service operator that previosuly operated as a seperate division of a company."
Other,Online game,Seoul,Red Desert : team RPG,Kolkata,ashwathama - the immortal,Yes,3,"Red Desert: Team RPG is an action-adventure role-playing game that combines elements of fighting, jumping, and running. The game is developed by Clegames, Inc.","In the vibrant city of Kolkata, ""Ashwathama - the Immortal"" is a highly acclaimed action-adventure role-playing game that masterfully blends elements of combat, agility, and exploration. This game is developed by a renowned local studio, bringing a unique and captivating experience to gamers worldwide.",Ashwathama: The Immortal is an action role-playing game. This game was developed by Virtualinfocom.,(1) What type of game is Red Desert: team RPG? (2) Which genre does Ashwathama - the Immortal fall under? (3) Who are the developers of Red Desert: team RPG? (4) Who created Ashwathama - the Immortal?,"(i) Can you name a role-playing game?
(ii) Can you name an online game which has action in it?","(i) Can you name an action-adventure role-playing game that combines elements of fighting, jumping, and running?
(ii) Tell me about a company that developed an action role-playing game called ""Ashwathama: The Immortal""?",(i) Can you name an action-adventure role-playing game?
US/Europe,Amusement park,Moscow,Dream Island,Maharashtra,Essel World,Yes,2,Dream Island is an amusement park in Moscow that opened on 29 February 2020. It is the largest indoor theme park in Europe.,"Essel World is a beloved amusement park in Maharashtra, India. Having been established in 1989, it takes pride in being one of the oldest and most popular theme parks in the country. This vibrant entertainment destination offers a wide variety of exciting rides and attractions for all ages, making it a favorite spot for families and friends to create unforgettable memories together. Spread over 64 acres, Essel World boasts a diverse range of both wet and dry rides that cater to thrill-seekers and those who prefer a more relaxed experience. With its convenient location in the bustling city of Mumbai, Essel World continues to be a must-visit destination for both locals and tourists alike.",Essel World is an amusement park in Mumbai that opened in 1989. It is one of the largest amusement parks in India.,"(i) Can you name a large amusement park?
 (ii) What is an example of an indoor theme park?
 (iii) In which year did a certain amusement park open in Moscow?","(i) Can you name one of the largest amusement parks of the region?
","(i) Can you name an amusement park that is known for being the largest indoor theme park in Europe?
(ii) Tell me about an amusement park that is one of the largest in India?","(i) Can you name an amusement park?
(ii) Tell me about an amusement park that is one of the largest."
Other,Photographer,Malaysia,Eiffel Chong,Punjab,Raghu Rai,Yes,2,Eiffel Chong was an award-winning photographer and has been featured in many exhibitions in Malaysia and around the world.,"Raghu Rai, a renowned photographer from Punjab, has been the recipient of several awards and has been featured in numerous exhibitions across India and internationally.",Raghu Rai is an award-winning photographer and has been featured in many exhibitions in India and around the world.," (i) Can you name an award-winning photographer?
(ii) Who is a photographer known for having their work featured in international exhibitions?","(i) Can you name an award-winning photographer?
(ii) Who is a photographer known for having their work featured in international exhibitions?","(i) Can you name an award-winning photographer who has been featured in many exhibitions in various countries?
(ii) Tell me about a photographer who has gained recognition for their work in exhibitions both locally and internationally?",(i) Can you name an award-winning photographer who has been featured in many exhibitions in various countries?
Other,Scientist,Australia,Peter Doherty,Uttar Pradesh,Javed Agrewala,Yes,2,"Peter Charles Doherty AC FRS FMedSci (born October 15, 1940) is an Australian immunologist. He has received multiple awards. He is known for his research on the immune system.","Javed Agrewala, an immunologist based in Uttar Pradesh, has received multiple awards for his research on the immune system.","Javed Naim Agrewala (born May 14, 1961) is an Indian immunologist. He has received multiple awards. He is known for his research on tuberculosis."," (1) What is one example of a person who works in the field of immunology?
(2) Can you name an individual who has been recognized for their contributions to the study of the immune system?","(i) What is one example of a person who works in the field of immunology?
(ii) Can you name an individual who has been recognized for their contributions and research?
(iii) Can you provide with an example of an immunologist who has received multiple awards?","(i) Can you name an immunologist known for their research on the immune system?
(ii) Who is recognized for their work on tuberculosis in the field of immunology?",(i) Can you name an immunologist who has received multiple awards?
US/Europe,Olympian,Italy,Franco Bertinetti,India,Leander Paes,Yes,1,Franco Bertinetti (14 July 1923 – 6 March 1995) was an Italian fencer. He won a gold medal in the team épée events at the 1952 and 1956 Summer Olympics.,"Leander Paes, born 17 June 1973, is a renowned tennis player from India. He has won several gold medals in the men's and mixed doubles events at the Asian Games and the Commonwealth Games, and a bronze medal in the men's singles event at the 1996 Atlanta Olympics.",Leander Paes (17 June 1973) is an Indian former tennis player. He won a bronze medal in the men's singles event at the 1996 Atlanta Olympics.," (i) Can you name a fencer who won an Olympic gold medal?
(ii) Who is a tennis player who won an Olympic medal?
(iii) Can you mention an Italian athlete who won an Olympic medal?
(iv) Can you think of a tennis player who competed in the Olympics during the 1990s?","(i) Can you name a sportsperson who won an Olympic medal? 
","(i) Can you name an Italian athlete who won gold medals at the 1952 and 1956 Summer Olympics?
(ii) Who is an Indian former athlete who won a bronze medal at the 1996 Atlanta Olympics?",(i) Can you name an athlete who won medals at the Olympics?
US/Europe,Journalist,Italy,Carmine Pecorelli,Chhattisgarh,Sai Reddy,No,2,"Carmine ""Mino"" Pecorelli was an Italian journalist, shot dead in Rome a year after former prime minister Aldo Moro's 1978 kidnapping and subsequent killing. He was described as a ""maverick journalist with excellent secret service contacts"".","Sai Reddy was a journalist from Chhattisgarh, assassinated in Jagdalpur, a year after former chief minister Nand Kumar Patel's 2013 kidnapping and subsequent killing. He was described as a ""daring journalist with extensive connections among the local communities and political circles.""","Sai Reddy was an Indian journalist, stabbed dead in Basaguda."," (i) Can you name an Italian journalist who was assassinated?
(ii) Who was a journalist known for their excellent secret service contacts?
(iii) Can you provide an example of a journalist who was unfortunately killed because of their work?
(iv) Can you think of a journalist who had strong connections with secret services?","(i) Can you provide an example of a journalist who was unfortunately killed because of their work?
","(i) Can you name an Italian journalist who was shot dead in Rome?
(ii) Who was described as a ""maverick journalist with excellent secret service contacts""?",(i) Can you name a journalist who was killed?
Other,Historical event,Sri Lanka,Massacre of Sri Lankan Police officers,Lethipora,Pulwama Attack,Yes,3,"A mass murder of Sri Lankan Police officers took place on 11 June 1990. Members of the Liberation Tigers of Tamil Eelam, a militant organization, are alleged to have killed over 600 unarmed Sri Lanka Police officers in Eastern Province, Sri Lanka.","A mass attack on Central Reserve Police Force (CRPF) personnel took place on 14 February 2019. Members of the militant organization Jaish-e-Mohammed are alleged to have killed over 40 unarmed CRPF personnel in Lethipora, Jammu and Kashmir, India.","A mass attack on Central Reserve Police Force (CRPF) took place on 14 February 2019. Members of the militant organization are alleged to have killed over 40 unarmed CRPF in Lethipora, Jammu and Kashmir, India.","(i) Can you mention a specific incident of mass violence against police officers?
(ii) When did a militant organization allegedly carry out a mass killing of police officers in Sri Lanka?
(iii) Can you recall a significant event involving the death of many police officers due to a militant group's actions?","(i) Can you mention a specific incident of mass violence against police officers?
(ii) Can you recall a significant event involving the death of many police officers due to a militant group's actions?","(i) Can you provide an example of a mass murder involving Sri Lankan Police officers?
(ii) What militant organization is alleged to have carried out a mass attack on Central Reserve Police Force (CRPF) in February 2019?","(i) Can you provide an example of a mass attack/murder on Police officers?
(ii) What militant organization is alleged to have carried out a mass attack on Police Force?"
US/Europe,Coffee chain,London,Caffe Nero,India,Frespresso,Yes,1,"Caffè Nero is a coffeehouse company headquartered in London, England. Established in 1997 by Gerry Ford, Caffè Nero runs more than 1,000 coffee houses in eleven countries: the UK, Ireland, Sweden, Poland, Cyprus, Croatia, Turkey, the UAE, Oman, and the United States. ","Frespresso is a coffeehouse company headquartered in India. Established in * (year of establishment of Frespresso) by * (founder of Frespresso), Frespresso runs more than * (number of Frespresso outlets) coffee houses in one country: India.* (add any additional information about Frespresso's presence in different cities/regions of India, if applicable)*","Frespresso is a coffeehouse company headquartered in India. Established in 2010 by Dhiren Surjiani, runs more than 25 frespresso outlets in India and Malaysia."," (i) What is the name of a coffeehouse company with international presence?
(ii) Can you mention a company that runs over a thousand coffee houses?
(iii) In which year was a coffeehouse company founded in London, England?","(i) What is the name of a coffeehouse company with an international presence?
(ii) Can you mention a company that operates over several outlets in the country?","(i) Name a coffeehouse company that operates in multiple countries?
(ii) Who founded Caffè Nero and in which year was it established?
(iii) How many coffee houses does Frespresso operate in Malaysia?",(i) Name a coffeehouse company that operates in multiple countries?
