Head-Tail,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions,No. of words deleted,No. of words inserted,No. of words substituted,Edit distance,"BLEU Score btw target and final target sentence (Column J,K)",Evaluation using corrected questions (GPT3.5) (1/0) 
US/Europe,Event,US,New York Fashion Week,India,Lakme Fashion Week,Yes,1,"New York Fashion Week, held in February and September of each year, is a semi-annual series of events in Manhattan typically spanning seven to nine days when international fashion collections are shown to buyers, the press, and the general public.","LakmÃ© Fashion Week, held biannually in February and August each year, is a series of events in Mumbai, India, where national and international fashion collections are showcased to buyers, the press, and the general public over the course of five to six days.","Lakme Fashion Week, held in March and October each year, is a bi-annual series of events in Mumbai and Delhi, India typically spanning five days when national and international fashion collections are showcased to buyers, the press, and the general public.","(i) Can you name a semi-annual or bi-annual fashion event?
 (ii) Where do international and national fashion collections get showcased at events that occur twice a year?
 (iii) Which two cities host fashion weeks in February, March, September, and October?","(i) Can you name a fashion event occuring twice a year? (ii) Name a fashion show held in one of the major city of the country. (iii) Could you provide name of a fashion show where international fashion collections are showcased to buyers, the press, and the general public",9,7,4,20,0.5385854565,
US/Europe,Event,US,Miss USA,India,Femina Miss India,No,1,Miss USA is an American beauty pageant that has been held annually since 1952 to select the entrant from United States in the Miss Universe pageant.,"Femina Miss India is an Indian beauty pageant, held annually since 1964, which serves to choose the representative for India at the Miss World pageant.
 
 Explanation of modifications made:
 1. The source entity ""Miss USA"" has been replaced with the target entity ""Femina Miss India.""
 2. The location ""US"" is changed to ""India.""
 3. The reference to ""the entrant from United States in the Miss Universe pageant"" is revised to ""the representative for India at the Miss World pageant,"" as Femina Miss India selects representatives for the Miss World competition.",Femina Miss India is an Indian beauty pageant that had been held annually since 1964 to select entrant from India in the Miss World pageant.,"(i) Can you name a beauty pageant held annually in the United States?
 (ii) What is one example of a beauty pageant that selects its winner to represent the country at an international level?
 (iii) Can you mention an Indian beauty pageant that has been held annually since 1964?",(i) Can you name a beauty pageant that is held annually? (ii) What is one example of a beauty pageant that selects its winner to represent the country at an international level?,68,3,3,74,0.01972879242,
Other,Event,Senegal,Dakar Biennale,Mumbai,India Art Festival,No,3,"The Dakar Biennale, or Dak'Art - Biennale de l'Art Africain Contemporain, is a major contemporary art exhibition that takes place once every two years in Dakar, Senegal. Dak'Art's focus has been on Contemporary African Art since 1996.","The India Art Festival, or Mumbai Contemporary Art Show, is a significant contemporary art exhibition that takes place once every two years in Mumbai, India. India Art Festival's focus is on Contemporary Indian Art since its inception in [insert year].""","The India Art Festival, or Mumbai Art Fair, is a significant contemporary art exhibition that takes place once every year in Mumbai, India. India Art Festival's focus is on Contemporary Indian Art since 2011.","(i) Can you name a major contemporary art exhibition that occurs biennially?
 (ii) Which event is known for its focus on contemporary African art?
 (iii) Where is the India Art Festival held annually and what kind of art does it showcase?",(i) Can you name a major contemporary art exhibition? (ii) Name an art exhibition that focuses on the contemporary Art of the country.,6,0,3,9,0.6420701679,
Other,Festival,Thailand,Songkran,India,Holi,Yes,1,"Thai New Year or Songkran is the Thai New Year's national holiday. Songkran is on 13 April every year, but the holiday period extends from 14 to 15 April.","In India, the festival of Holi is celebrated as the Indian New Year's national holiday. Holi takes place on a specific date according to the Hindu calendar, which usually falls in March. However, the festive celebrations extend up to two days.","Holi or festival of colores is India's national holiday. Holi usually occurs around March, the festive celebrations extend up to two days.","(i) Can you name a new year celebration that has a fixed date?
 (ii) Which country celebrates its new year around April?
 (iii) What is another name for India's festival of colors called? 
 (iv) Is there a national holiday in Thailand that lasts for more than a day and starts from April 13th?",(i) Can you name a festival for which national holiday is given? (ii) Name a festival which is celebrated for multiple days.,19,0,6,25,0.2316612647,
US/Europe,Event,USA,Super Bowl,India,IPL Final,Yes,1,"The Super Bowl is the annual league championship game of the National Football League of the United States. It has served as the final game of every NFL season since 1966, replacing the NFL Championship Game.","The IPL Final is the annual league championship game of the Indian Premier League in India. It has served as the final game of every IPL season since 2008, replacing the earlier system of knockout matches to determine the champion.",The IPL Final is the annual league championship game of the Indian Premier League in India. It has served as the final game of every IPL season since 2008.,"(i) What is the name of an annual league championship game in American football?
 (ii) Can you mention a popular sports league's annual championship game?
 (iii) Name a championship game that marks the end of a professional sports season.",(i) What is the name of an annual league championship game ? (ii) Can you mention a popular sports league's annual championship game?,11,0,0,11,0.6613732637,
US/Europe,Event,USA,NFL,India,IPL,Yes,1,"The National Football League is a professional American football league that consists of 32 teams, divided equally between the American Football Conference and the National Football Conference.","The Indian Premier League (IPL) is a professional Twenty20 cricket league in India, consisting of 8 teams, known as ""franchises."" These franchises are based in major cities across India.",The Indian Premier League (IPL) is a Men's Twenty20 cricket league that consists of 10 teams.,"(i) What is an example of a professional sports league?
 (ii) Can you name a league that divides its teams into conferences?
 (iii) What are the key differences between two distinct sports leagues: NFL and IPL?",(i) What is an example of a sports league? (ii) Can you namr a sports league that consists of various teams?,13,0,4,17,0.2132095034,
US/Europe,Festival,New Orleans,Mardi Gras,Tamil Nadu,Pongal,Yes,2,"Mardi Gras refers to events of the Carnival celebration, beginning on or after the Christian feasts of the Epiphany and culminating on the day before Ash Wednesday, which is known as Shrove Tuesday.","Pongal refers to the harvest festival celebrations in Tamil Nadu, beginning on the day after the end of the Tamil month of Margazhi and culminating on the third day, which is known as Thai Pongal or Makara Sankranti.","Pongal refers to the harvest festival celebrations, beginning on the day which is the end of the Tamil month of Margazhi and culminating on the fourth day, which is known as Thai Pongal or Makara Sankranti.","(i) Can you give an example of a cultural celebration that occurs before the start of Lent in the Christian calendar?
 (ii) What is another name for the harvest festival celebrations that falls on the fourth day of the festivities?
 (iii) Is there a celebration that starts based on the end of a certain month in the Tamil calendar and continues for four days?",(i) Can you give an example of a cultural celebration? (ii) Name a festival where the day of its culmination is assigned a specific name.,3,1,2,6,0.751788744,
US/Europe,Festival,New Orleans,Mardi Gras,Kerala,Thrissur Pooram,Yes,2,"Mardi Gras refers to events of the Carnival celebration, beginning on or after the Christian feasts of the Epiphany and culminating on the day before Ash Wednesday, which is known as Shrove Tuesday.","Thrissur Pooram refers to the festive events of the Pooram celebration in Thrissur, beginning on the day of the Meena Lakshmi Puja, which is a few days after the traditional Indian festival of Vishu (around mid-April) and culminating on the day of the grand procession, which is known as the Pooram day. This significant cultural event takes place in Thrissur, Kerala, showcasing the region's rich traditions and religious harmony between various temples and their deities.","Thrissur Pooram refers to the annual Hindu temple festival, on the Pooram day- the day when the moon rises with the Pooram star in the Malayalam Calendar month of Medam. It is held at the Vadakkunnathan (Shiva) Temple in Thrissur","(1) What is another term for the festivities that take place before the Christian celebration of Ash Wednesday?
 (2) Can you name a celebration that occurs around the time of the Epiphany and ends on Shrove Tuesday?
 (3) Which Hindu temple festival takes place in the Malayalam Calendar month of Medam with the rising of the Pooram star? 
 (4) In what city is the Vadakkunnathan Temple, known for hosting the Thrissur Pooram celebration, located?",(i) Name a festival. (ii) Can you name a traditional festival?,37,2,22,61,0.0561903035,
US/Europe,Festival,US/UK,New Year,Andhra Pradesh,Ugadi,No,2,The New Year is the time or day at which a new calendar year begins and the calendar's year count increments by one. Many cultures celebrate the event in some manner.,"In the context of Andhra Pradesh, India, Ugadi is the time that marks the beginning of the new Hindu calendar year, specifically the first day of the lunisolar month of Chaitra. This event is celebrated as the regional New Year in Andhra Pradesh and is commemorated through various cultural traditions and practices.","Ugadi is New Year's Day according to the Hindu calendar, the cycle is actually consists of 60 years, each year individually named. Many cultures celebrate the event in some manner.","(i) When does a new calendar year begin for many cultures?
 (ii) What is the name of the Hindu New Year that follows a 60-year cycle?
 (iii) How do many cultures celebrate the start of a new year?",(i) Could you name a festival that many cultures celebrate in some manner? (ii) Could you provide a name of a festival which is celebrated at the beginning of a calendar year?,22,0,22,44,3.67E-155,
US/Europe,Festival,Ireland,Saint Patrick's Day,Punjab,Guru Nanak Gurpurab,No,2,"Saint Patrick's Day, or the Feast of Saint Patrick, is a religious and cultural holiday held on 17 March, the traditional death date of Saint Patrick (c. 385 â€“ c. 461), the foremost patron saint of Ireland.","Guru Nanak Gurpurab, or the Prakash Utsav of Guru Nanak Dev Ji, is a religious and cultural festival celebrated on 17 Katak, the traditional birth date of Guru Nanak Dev Ji (1469–1539), the first Sikh Guru and the founder of Sikhism. This festival is of great importance in Punjab, the region where Sikhism originated and where a significant portion of the global Sikh population resides.","Guru Nanak Gurpurab, or the Prakash Utsav of Guru Nanak Dev Ji, is a religious and cultural holiday celebrated on Puranmashi of Katak, the traditional birth date of Guru Nanak Dev Ji (1469), the first Sikh Guru and the founder of Sikhism.","(i) Can you name a religious and cultural holiday?
  (ii) Do you know of any holidays that are held in honor of a significant figure in a religion's history?
  (iii) Is there a specific date set to celebrate a particular saint or Guru's birth or death?","(i) Can you name a religious and cultural holiday? (ii) Do you know of any holidays that are held in honor of a significant figure in a religion's history?
  (iii) Is there a specific date set to celebrate a particular saint or Guru's birth or death?",24,1,3,28,0.4961962906,
US/Europe,Film Director,UK,Christopher Nolan,Tamil Nadu,Mani Ratnam,Yes,2,"Christopher Edward Nolan CBE is a British-American filmmaker. Known for his Hollywood blockbusters with complex storytelling, Nolan is considered a leading filmmaker of the 21st century.",Mani Ratnam is a prominent Indian filmmaker from Tamil Nadu. He is known for his compelling storytelling in Tamil cinema and is regarded as one of the leading filmmakers of the modern era in India.,Mani Ratnam is an Indian filmmaker. He is known for majority of his films being characterized by a string of socio-political themes. He is considered as one of India's most acclaimed and commercially successful filmmakers,"(i) Can you name a renowned filmmaker known for their complex storytelling in Hollywood?
 (ii) Who is an acclaimed Indian filmmaker known for his socio-political themes in movies?
 (iii) Can you mention a British-American filmmaker considered as one of the leading directors of the 21st century?
 (iv) Name an Indian director acknowledged as commercially successful and critically acclaimed.",(i) Can you name a renowned filmmaker? (ii) Could you name a successful film director?,6,6,15,27,0.1807284336,
US/Europe,Film Director,US,James Cameron,West Bengal,Srijit Mukherjee,Yes,2,"James Francis Cameron CC is a Canadian filmmaker. He is a major figure in the post-New Hollywood era, and one of the industry's most innovative filmmakers. He often uses novel technologies with a classical filmmaking style.","Srijit Mukherjee is a prominent filmmaker from West Bengal, India. He is a significant figure in the post-Parallel Cinema era of Bengali cinema and is known for his innovative approach to filmmaking. Much like James Francis Cameron CC in the US, he often incorporates novel technologies with a classic filmmaking style in his work.",Srijit Mukherjee is an Indian filmmaker. He has been a significant figure in the post-Parallel Cinema era and one of the industry's innovative and approaching filmmakers. He often uses incorporates novel technologies with a classical filmmaking style in his work.,"(i) Can you name a filmmaker known for their innovative style?
 (ii) Who is a significant figure in the post-Parallel Cinema or post-New Hollywood era within the film industry?
 (iii) Is there a filmmaker who often combines classical techniques with novel technologies in their work?",(i) Can you name a filmmaker known for their innovative style? (ii) Is there a filmmaker who often combines classical techniques with novel technologies in their work?,14,0,16,30,0.2836399015,
Other,Film Director,South Africa,Gavin Hood,India,Satyajit Ray,Yes,1,"Gavin Hood is a South African filmmaker, and actor, best known for writing and directing Tsotsi, which won the Academy Award for Best Foreign Language Film.","Satyajit Ray was an Indian filmmaker and screenwriter, who is widely regarded as one of the greatest filmmakers in the history of cinema. He is best known for his work on the Apu Trilogy, which includes the films ""Pather Panchali,"" ""Aparajito,"" and ""Apur Sansar."" These films are considered classics of Indian cinema and have won numerous awards, including the National Film Award for Best Feature Film in India. Ray's contributions to filmmaking have been recognized globally, and he has been awarded with an Honorary Academy Award for his lifetime achievement in film.","Satyajit Ray was an Indian filmmaker and screenwriter, best known for his writing and directing ""Pather Panchali,"" which won National Film Awards for Best Film.","(i) Can you name a filmmaker who has won an Academy Award for Best Foreign Language Film?
 (ii) Who is a notable director and writer from the Indian subcontinent?
 (iii) Can you mention a South African known for his work in films?",(i) Can you name a filmmaker whose film has won a prestigious award? (ii) Can you name a filmmaker who has written and directed a well-known film?,67,0,5,72,0.03764061517,
Other,Film Director,Israel,Eran Kolirin,India,Anurag Kashyap,Yes,1,"Eran Kolirin is an Israeli screenwriter and film director. In 2004, he directed the feature-length television drama, The Long Journey.","Anurag Kashyap is an Indian screenwriter and film director. In 2004, he directed the feature-length Bollywood film, ""Gangs of Wasseypur.""","Anurag Kashyap is an Indian screenwriter and film director. In 2004, he directed the Bollywood film, ""Black Friday""","(i) Can you name a film director who is also a screenwriter?
 (ii) Who are some directors that released their debut feature-length film in 2",(i) Can you name a film director who is also a screenwriter? (ii) Can you name a director who released their work in 2004?,2,0,2,4,0.6973292725,
Other,Film Director,Sri Lanka,Prasanna Vithanage,Karnataka,Puttanna Kanagal,Yes,2,Udaya Prasanna Vithanage is a Sri Lankan filmmaker. He is considered one of the pioneers of the third generation of the Sri Lankan cinema.,Puttanna Kanagal was a renowned filmmaker from Karnataka. He is regarded as one of the pioneers of the modern Kannada cinema.,Puttanna Kanagal was an Indian filmmaker. He is often considered one of Kannada cinema's most influential filmmakers,"(i) Can you name a filmmaker from Sri Lanka?
 (ii) Who is recognized as one of the pioneers in the third generation of Sri Lankan cinema?
 (iii) Who is a notable filmmaker from the Indian cinema industry?
 (iv) Can you recall a director regarded as influential in Kannada cinema?",(i) Name a filmmaker. (ii) Mention an individual who is considered a notable filmmaker in their industry?,4,0,9,13,3.84E-78,
Other,Film Director,South Korea,Bong Joon ho,West Bengal,Kaushik Ganguly,Yes,2,"Bong Joon-ho is a South Korean film director, producer and screenwriter. The recipient of three Academy Awards, his filmography is characterised by emphasis on social and class themes, genre-mixing, black humor, and sudden tone shifts.","Koushik Ganguli is a West Bengali film director and screenwriter. His filmography is characterized by exploring social and cultural themes, often showcasing the nuances of West Bengali society with a unique storytelling style that blends humor and emotional depth.
 
 (Note: The reference entity's accomplishments, such as winning three Academy Awards, have not been carried over to the target entity Koushik Ganguli since there is no information available about him receiving any similar awards.)","Kaushik Ganguly is a Bengali film director, actor and screenwriter. The recipient of multiple National Film Awards, his filmography is characterized by exploring social and cultural themes, often showcasing the nuances of West Bengal society with a unique storytelling style that blends humor and emotional depth.","(i) Can you name a notable film director who has won multiple Academy Awards?
 (ii) What can you tell me about a filmmaker known for incorporating social themes and black humor in their work?
 (iii) Who is a Bengali film director that has received numerous National Film Awards for exploring cultural and societal nuances in their storytelling?",(i) Can you provide an example of a film director who is also a scrennwriter? (ii) Can you name a notable film director who has won multiple prestigious Awards?,35,8,4,47,0.3266664074,
US/Europe,Film Festival,US,Seattle International Film Festival,Kolkata,Kolkata International Film Festival,No,3,"The Seattle International Film Festival is a film festival held annually in Seattle, Washington, United States since 1976. It usually takes place in late May and/or early June.","The Kolkata International Film Festival is an annual film festival held in Kolkata, India, since 1997. It typically takes place in November.","The Kolkata International Film Festival is a film festival held annually in Kolkata, West Bengal, India since 1995. It typically takes place in November or December.","(i) What is an example of an annual film festival?
 (ii) Can you name a film festival that takes place in either May, June, November, or December?
 (iii) Mention the location of two international film festivals.",(i) Give me an example of a film festival which is held annually? (ii) Could you name an international film festival?,1,5,2,8,0.4555902004,
Other,Film Festival,South Korea,Busan International Film Festival,Tamil nadu,Chennai International Film Festival,No,2,"The Busan International Film Festival, formerly the Pusan International Film Festival, held annually in Haeundae-gu, Busan, South Korea, is one of the most significant film festivals in Asia.","The Chennai International Film Festival, formerly known as the Madras Film Festival, is held annually in Chennai, Tamil Nadu, India, and is one of the most significant film festivals in South Asia.","The Chennai International Film Festival, formerly known as the Madras Film Festival, is held annually in Chennai, Tamil Nadu, India, and is one of the most significant film festivals in South India.","(i) Can you name a significant film festival in Asia?
 (ii) Which international film festival is held annually in Chennai, Tamil Nadu, India?
 (iii) What is another name for the Pusan International Film Festival?",(i) Give me an example of a film festival which is held annually? (ii) Can you name a film festival which was previously called by another name? (iii) Could you provide with a name of a significant international film festival?,0,0,1,1,0.9516487684,
US/Europe,Food,Louisiana,Jambalaya,Kerala,Thalassery biryani,Yes,2,"Jambalaya is an American Creole and Cajun rice dish of French, African, and Spanish influence, consisting mainly of meat and vegetables mixed with rice.","Thalassery biryani is a South Indian rice dish of Mappila (Malabar) heritage, influenced by Arab, Persian, and local Kerala culinary traditions. It primarily consists of layers of spiced meat (usually goat or beef), fish, or eggs, along with partially cooked rice that is then cooked together, resulting in a flavorful and aromatic one-pot meal.","Thalassery biryani is a South Indian rice dish of Mughal-Arab cultural influence, consisting of layers of spiced meat, fish, or eggs, along with partially cooked rice.","(i) Can you provide an example of a rice dish with mixed meats and vegetables?
 (ii) What is the name of a rice dish that has French, African, and Spanish influences?
 (iii) Can you think of a rice dish that layers spiced meat or fish with partially cooked rice?",(i) Name a rice dish. (ii) Can you provide an example of a rice dish which consists of meat also? (iii) Can you name a rice dish which has multiple cultural influence?,28,0,4,32,0.2189340362,
US/Europe,Food,US,Pancake,Andhra Pradesh,Pesarattu,Yes,2,"A pancake is a flat cake, often thin and round, prepared from a starch-based batter that may contain eggs, milk and butter and cooked on a hot surface such as a griddle or frying pan, often frying with oil or butter. It is a type of batter bread.","A Pesarattu is a thin and round, crispy pancake, prepared from a batter made from fermented green gram (moong dal) and often spiced with cumin seeds and green chili. It is usually cooked on a hot flat surface like a griddle without any oil or butter. Originating from the Andhra Pradesh region of India, it is not only a popular breakfast item but also considered a type of healthy protein-rich bread due to the absence of wheat or refined flour and the use of wholesome lentils as its main ingredient.","A Pesarattu is a thin and round, crispy crepe-like bread, prepared from a batter made from fermented green gram and often spiced with ginger and green chili. It is usually cooked on a hot flat surface like a griddle.","(i) Can you give an example of a food that is commonly round, flat, and cooked on a griddle?
 (ii) What is a dish that is made from a fermented batter?
 (iii) Name a food that can be considered a type of thin bread.","(i) Can you give an example of a food that is commonly round and thin?
 (ii) Name a food that is usually cooked on a griddle",52,1,2,55,0.2220807929,
US/Europe,Food,US,French Fries,West Bengal,Fuchka,Yes,2,"French fries, chips, finger chips, french-fried potatoes, or simply fries, are batonnet or allumette-cut deep-fried potatoes of disputed origin from Belgium or France.","In the local domain of West Bengal, India, ""Fuchka"" is a popular street food that resembles the reference entity, ""French fries."" Often mistakenly called ""pani puri"" or ""golgappe"" in other regions, Fuchka consists of small, round, crispy fried dough balls filled with a mixture of mashed potatoes, chickpeas, spices, and tamarind water. Despite the similarity in appearance to French fries, Fuchka has its unique origin rooted in the local culture and cuisine of West Bengal.","""Fuchka"" consists of small, round, crispy fried dough balls filled with a mixture of mashed potatoes, chickpeas, spices, and tamarind water. Its origin remain disputed.","(i) What are some examples of deep-fried potato dishes?
 (ii) Can you name a popular dish made from fried dough and filled with potatoes and chickpeas?",(i) Name a dish which has potatoes as one of its ingredients. (ii) Can you name a dish whose origin is disputed?,50,0,3,53,0.1309252562,
Other,Food,Brazil,Feijoada,Bhubaneswar,Dahibara Aloodum,Yes,3,"Feijoada is a stew of beans with beef and pork. The name feijoada is derived from feijÃƒÂ£o, 'bean' in Portuguese. It is widely prepared in the Portuguese-speaking world, with slight variations.","""Dahibara Aloodum is a stew of lentils with yogurt and spiced potatoes. The name Dahibara Aloodum is derived from 'dahi' (yogurt) and 'bara' (lentil fritters), and 'aloodum' (spiced potatoes) in Oriya, the local language of Bhubaneswar. It is widely prepared in Bhubaneswar and surrounding regions of Odisha, with slight variations.""","Dahibara Aloodum is a stew of lentils with yogurt and spiced potatoes. The name Dahibara Aloodum is derived from 'dahi' (yogurt) and 'bara' (lentil fritters), and 'aloodum' (spiced potatoes) in Odia. It is widely prepared in Bhubaneswar and surrounding regions of Odisha and throught the country with slight variations.","(i) What dish has a name derived from the word for beans in Portuguese?
 (ii) Can you name a stew that is prepared differently in various Portuguese-speaking regions?
 (iii) In which cuisine would you find a dish named Dahibara Aloodum, and where is it commonly prepared?
 (iv) What are the main ingredients of Dahibara Aloodum, and what does 'aloodum' refer to in its name?",(i) Can you name a stew dish? (ii) Could you name a dish which is prepared in various regions with slight variations?,5,4,3,12,0.8025153472,
Other,Food,Thailand,Pad Thai,West Bengal,Ghugni,Yes,2,"Pad thai, phat thai, or phad thai, is a stir-fried rice noodle dish commonly served as a street food in Thailand as part of the country's cuisine. It is typically made with rice noodles, shrimp, peanuts, a scrambled egg, and bean sprouts. The ingredients are fried in a wok.","""Ghugni, also known as gugni or gudiya, is a popular dish from West Bengal, typically made with boiled yellow peas, onions, tomatoes, and various spices. It is commonly served as a street food in the region, as part of the state's rich culinary culture. The ingredients are cooked in a pot until they reach a thick consistency.""","Ghugni, or ghuguni or guguni, is a curry made of peas or chickpeas commonly served as a street food in West Bengal, as part of the state's cuisine. It is typically made with boiled yellow peas, onions, tomatoes and various spices.","(i) Can you name a stir-fried rice noodle dish that originates from Thailand?
 (ii) Tell me about a dish that often includes shrimp as one of its main ingredients?
 (iii) What is an example of a curry commonly served as street food in West Bengal, India?
 (iv) Name a dish that typically contains boiled yellow peas and various spices.",(i) Can you name a dish which is commonly served as a street food? (ii) Name a dish which is part of the region's cuisine,16,0,24,40,0.3542983025,
US/Europe,Food,Paris,Baguette,Mumbai,Vada Pav,Yes,2,"A baguette is a long, thin type of bread of French origin that is commonly made from basic lean dough. It is distinguishable by its length and crisp crust.","A Vada Pav is a popular street food of Indian origin, specifically from Mumbai, made from mashed potatoes dumplings coated with gram flour, deep-fried and served in a bun with various chutneys and fried green chillies. It is distinguishable by its round shape and soft, spicy filling.","A Vada Pav is a mashed potatoes dumplings coated with gram flour, deep-fried and served in a bun with various chutneys and fried green chillies, dish is of Indian origin. It is distinguishable by its round shape and soft, spicy and favourful filling.","(i) What is an example of a long, thin bread?
 (ii) Of which country is the baguette a traditional food?
 (iii) Can you describe a dish that includes mashed potatoes and gram flour in its preparation?
 (iv) Which dish is known for its round shape and spicy filling?",(i) What is an example of a food consisting a bread? (ii) Can you name a distinguishable bread dish?,11,7,0,18,0.6893990554,
Other,Food,Chile,Cazuela,Sikkim,Thukpa,Yes,2,"Cazuela is the common name given to a variety of dishes, especially from South America. It receives its name from the cazuela- traditionally, an often shallow pot made of unglazed earthenware used for cooking.","Thukpa is the common name given to a popular dish in Sikkim, originating from Tibet and spreading through the Himalayan region. It receives its name from the thukpa bowl - traditionally, a large, deep bowl made of ceramic or metal used for serving this noodle soup.","Thukpa is the common name given to a popular dish in Sikkim, originating from Tibet. Thukpa is a generic Tibetan name for any soup or stew made with noodles.","(i) Can you give me an example of a common name for a variety of dishes?
 (ii) What is the traditional material used to make the pot commonly referred to as a cazuela?
 (iii) Where does the dish named Thukpa originally come from?
 (iv) What is another name for a soup or stew made with noodles in Tibetan cuisine?",(i) Name a dish.,17,0,12,29,0.2898834306,
US/Europe,Historical Event,US,Civil Rights Movement,India,Indian Independence Movement,Yes,1,"The civil rights movement was a social movement and campaign from 1954 to 1968 in the United States to abolish legalized racial segregation, discrimination, and disenfranchisement in the country.","The Indian Independence Movement was a social and political campaign from the late 1800s to 1947 in India to end British colonial rule and gain independence, with a focus on abolishing legalized discrimination, oppression, and disenfranchisement of Indians.",The Indian Independence Movement was a social and political campaign from the late 1800s to 1947 in India to end British colonial rule and gain independence.,"(i) Can you provide an example of a social movement that occurred during the mid-twentieth century?
 (ii) What was one of the goals of a social and political campaign in India that ended in 1947?
 (iii) Name a historical social movement aimed at ending discriminatory practices.",(i) Can you provide an example of a social movement? (ii) Tell me about a historical social campaign.,12,0,0,12,0.5564343214,
US/Europe,Historical Figure,UK,Queen Elizabeth I,Tamil nadu,Queen Rani Mangammal.,No,2,Elizabeth I was Queen of England and Ireland from 17 November 1558 until her death in 1603. She was the last monarch of the House of Tudor.,"Rani Mangammal was the Queen of the Kingdom of Madurai, a prominent state in the historic Tamil country, during the 17th century. She ruled from 1689 until her death in 1705. Rani Mangammal is remembered as one of the most successful and influential queens in the history of Tamilnadu.","Rani Mangammal was the Queen of the regent of the Madurai Nayak kingdom (in present-day Madurai, India) from 1689 until her death in 1705. She was succeeded by Vijaya Ranga Chokkanatha Nayak, who took over the reigns of the kingdom.","(i) Can you name a Queen who ruled over England and Ireland?
 (ii) When did the rule of Elizabeth I, the last monarch of the House of Tudor, end?
 (iii) Who succeeded Rani Mangammal as the ruler of the Madurai Nayak kingdom?",(i) Could you provide a name of a Queen? (ii) Name a Queen who held the reigns of the kingdom until her death.,9,0,23,32,0.2691099694,
Other,Historical Figure,South Africa,Nelson Mandela,India,Mahatma Gandhi,No,1,Nelson Rolihlahla Mandela was a South African anti-apartheid activist and politician who served as the first president of South Africa from 1994 to 1999.,"Mahatma Mohandas Karamchand Gandhi was an Indian independence activist and politician who served as the leader of India's nonviolent resistance movement against British rule.
 
 Note: I had to make some assumptions about the target entity sentence since I don't have all the necessary context. For example, I assumed that Mahatma Gandhi was a political leader in India similar to Nelson Mandela in South Africa. However, it is important to note that the two historical figures and their contributions are unique and should not be directly compared.",Mahatma Mohandas Karamchand Gandhi was an Indian independence activist and politician who served as the leader of India's non-violent and satyagraha movement against British rule.,"(i) Can you name a significant political figure in the fight against colonialism or apartheid?
 (ii) Who is an example of a well-known leader in a non-violent resistance movement during the 20th century?",(i) Who is an example of a well-known activist and a politician? (ii) Name a historical figure who was a politician.,62,1,2,65,0.06672145551,
US/Europe,Hospital,US,HCA Healthcare,India,Apollo hospitals,Yes,1,"HCA Healthcare is an American for-profit operator of health care facilities that was founded in 1968. It is based in Nashville, Tennessee and as of May 2020, owned and operated 186 hospitals and approximately 2,000 sites of care, including surgery centers, freestanding emergency rooms, urgent care centers and physician clinics in 21 states and the United Kingdom.","Apollo Hospitals is an Indian for-profit operator of health care facilities that was founded in 1983. It is based in Chennai, India, and, as of my last update, owned and operated over 70 hospitals and over 2,500 pharmacies, clinics, and diagnostic centers across India, as well as several hospitals in other countries including Bangladesh, Mauritius, and Nigeria. Please note that the specific number of facilities and their locations may have changed since my last update.","Apollo Hospitals is an Indian for-profit operator of health care facilities that was founded in 1983. It is based in Chennai, Tamil Nadu and owned and operated over approximately 71 hospitals and over 5000 pharmacies, clinics, and diagnostic centers in over 21 states as well as over 100 teleclinics.","(i) Can you name a for-profit operator of health care facilities based in the United States?
 (ii) When was an operator of health care facilities that has ownership of over 185 hospitals founded?
 (iii) Approximately how many sites of care, including surgery centers and physician clinics, does HCA Healthcare operate?","(i) Can you name a for-profit operator of health care facilities?
 (ii)Name the hospitals having many branches in different places?""",30,4,8,42,0.337043899,
US/Europe,Hospital,Florida,Mayo Clinic-Jacksonville,Delhi,Sir Ganga Ram Hospital,Yes,2,"Mayo Clinic is a nonprofit American academic medical center focused on integrated health care, education, and research. It employs over 7,300 physicians and scientists, along with another 66,000 administrative and allied health staff, across three major campuses: Rochester, Minnesota; Jacksonville, Florida; and Phoenix/Scottsdale, Arizona.","Sir Ganga Ram Hospital is a nonprofit Indian academic medical center focused on integrated healthcare, education, and research. It employs over 7,300 physicians, scientists, and another 66,000 administrative and allied health staff, across its major campuses in Delhi, India.","Sir Ganga Ram Hospital is a for-profit Indian private hospital focused on patient-centric care, medical training and research and global collaborations. It employs many physicians, scientists, and another administrative and allied health staff, in its campus in Delhi, India.","(i) Can you name a nonprofit American academic medical center?
 (ii) What is one example of an institution known for integrated healthcare, education, and research?
 (iii) Where does Mayo Clinic, a major medical player, have some of its key campuses located?","(i) Can you name a medical center?
  (ii) What is one example of an institution focused on research? (iii) Name a hospital which employs various scientists and physicians in its campus.",4,4,9,17,0.4236583802,
