Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions
US/Europe,Business tycoon,France,Françoise Bettencourt Meyers,India,Roshni Nadar Malhotra,Yes,1,"Françoise Bettencourt Meyers is a French businesswoman, philanthropist, writer, billionaire heiress, and the richest woman in the world, with an estimated net worth of US$100 billion as of December 2023, according to Forbes.","Roshni Nadar Malhotra is an Indian businesswoman, philanthropist, and the richest woman in India, with an estimated net worth of US$2.6 billion as of December 2023, according to Forbes. (Note: The reference entity's wealth is significantly higher than the target entity's and is specific to France, while the target entity is the richest woman within India.)","Roshni Nadar Malhotra is an Indian businesswoman, philanthropist and one of the richest women in India, with an estimated net worth of US$10.12 billion as of December 2023, according to Forbes.","(i) Can you name a wealthy businesswoman?
 (ii) Who is a prominent figure in the world of philanthropy?
 (iii) Can you think of a female billionaire heiress?","(i) Can you name a businesswomen who is also a philanthropist?
(ii) Can you provide an example of a businesswomen with estimated net worth in billions according to Forbes?
(iii) Mention a businesswomen who is among the richest woman of the world."
Other,Business tycoon,Japan,Soichiro Honda,India,Sam Pitroda,Yes,1,"Soichiro Honda was a Japanese engineer and industrialist. In 1948, he established Honda Motor Co., Ltd. and oversaw its expansion from a wooden shack manufacturing bicycle motors to a multinational automobile and motorcycle manufacturer.","Sam Pitroda was an Indian engineer and telecommunications entrepreneur. In 1976, he established the India Telecom Corporation Limited (ITCL) and oversaw its expansion from a small-scale government-owned corporation to a significant player in the country's telecommunications sector, helping to modernize and transform India's telecommunications infrastructure over several decades.","Sam Pitroda is an Indian telecommunication engineer and entrepreneur. In 1984, he established Centre for Development of Telematics C-DOT, an autonomous telecom R&D organization so that he could help modernize India's telecommunications system.","(i) Can you name a Japanese engineer who founded a company?
 (ii) Tell me about a historical figure who established a multinational vehicle manufacturing company.
 (iii) Can you give an example of an Indian entrepreneur who started a telecom organization?","(i) Name a businessman who was also an engineer.
(ii) Name a businessman who established a company."
Other,Business tycoon,China,Jack Ma,Chennai,Venu Srinivasan,Yes,3,"Jack Ma Yun is a Chinese business magnate, investor and philanthropist. He is the co-founder of Alibaba Group, a multinational technology conglomerate. In addition, Ma is also the co-founder of Yunfeng Capital, a Chinese private equity firm.","Venu Srinivasan is a prominent Indian businessman and industrialist from Chennai. He is the chairman of TVS Motor Company, one of the largest two-wheeler manufacturers in India, and the vice chairman of Sundaram-Clayton Limited, a leading automotive component manufacturer. Furthermore, Srinivasan is also the founder of the TVS Foundation, a non-profit organization focused on education and community development.","Venu Srinivasan is an Indian industrialist. He is Chairman Emeritus of TVS Motor Company, a multinational motorcycle manufacturer. In addition, he also serves on the board of Tata Sons Ltd and is also a Director on the Central Board of Reserve Bank of India. He is also the Vice Chairman of Tata Trusts.","(i) Can you name a Chinese business magnate and co-founder of a multinational technology conglomerate?
 (ii) Who is a notable co-founder of a private equity firm based in China?
 (iii) Who is an Indian industrialist serving on the board of multiple organizations, including a multinational motorcycle manufacturer?
 (iv) Can you mention an individual who is both a Chairman Emeritus and Vice Chairman of different organizations?","(i) Can you name a person holding one of a top-notch position in a company?
(ii) Name a person who is associated with a multinational company."
Other,Business tycoon,China,Ma Huateng,Aligarh,Vijay Shekhar Sharma,Yes,3,"Ma Huateng is a Chinese business magnate, investor, and philanthropist. He is the co-founder and chief executive officer of Tencent, one of the most valuable companies in East Asia, one of the largest internet and technology companies, and one of the biggest investment, gaming, and entertainment conglomerates in the world.","Vijay Shekhar Sharma is a business magnate, investor, and philanthropist from Aligarh. He is the founder and CEO of Paytm, one of the most valuable companies in South Asia, one of the largest digital payment and e-commerce companies, and one of the biggest financial services and technology conglomerates in India.","Vijay Shekhar Sharma is an Indian technology entrepreneur and business magnate. He is the founder chairman, and managing director of One97 Communications and its consumer brand Paytm, one of the most valuable companies in South Asia, one of the largest digital payment and e-commerce companies, and one of the biggest financial services and technology conglomerates in India.","(i) Can you name a business magnate who co-founded a significant technology company?
 (ii) What is an example of a large internet company based in East Asia?
 (iii) Can you provide an example of an entrepreneur who founded a valuable digital payment company?","(i) Can you name a business magnate?
(ii) Nama a businessman who founded a company considered to be one of the most valuable companies of a region."
US/Europe,Business tycoon,US,Elon Musk,India,Mukesh Ambani,No,1,"Elon Reeve Musk is a businessman and investor. He is the founder, chairman, CEO, and CTO of SpaceX; angel investor, CEO, product architect, and former chairman of Tesla, Inc. He is one of the wealthiest person in the world","Mukesh Dhirubhai Ambani is a business tycoon and investor from India. He is the founder, chairman, and managing director of Reliance Industries, one of India's largest conglomerates with interests in energy, petrochemicals, retail, and telecommunications. He is one of the wealthiest people in Asia and has been consistently ranked among the top ten richest people in the world.
 
 Note: I've replaced Elon Musk with Mukesh Ambani and changed the location to India, but I've also modified the text to reflect Mukesh Ambani's actual roles and companies accurately, as well as his ranking as one of the wealthiest people in Asia, rather than the world.","Mukesh Dhirubhai Ambani is a businessman. He is the chairman and managing director of Reliance Industries, He is one of the wealthiest person in the world."," (i) Who is a well-known businessman and investor?
(ii) Can you name a person who is a founder and CEO of a space exploration company?
(iii) Who is another individual known to be among the wealthiest in the world?","(i) Who is a well-known businessman and chairman?
(ii) Who is an individual known to be among the wealthiest in the world?"
US/Europe,Business tycoon,US,Warren Buffett,India,Kumar Mangalam Birla,Yes,1,"Warren Edward Buffett, born on August 30, 1930, is an American businessman, investor, and philanthropist who currently serves as the co-founder, chairman and CEO of Berkshire Hathaway. As of March 2024, he had a net worth of $134 billion, making him the seventh-richest person in the world.","Kumar Mangalam Birla, born June 14, 1967, is an Indian businessman and philanthropist who currently serves as the chairman and managing director of Aditya Birla Group. As of March 2024, he has a net worth of around $12 billion, making him one of the richest people in India.","Kumar Mangalam Birla, born on June 14, 1967, is an Indian businessman and philanthropist who currently serves as the chairman of Aditya Birla Group. As of March 2024, he has a net worth of around $19.6 billion, making him seventh richest person in India and one the richest person in the world."," (i) Who is an American businessman and investor with a net worth of over $100 billion as of March 2024?
(ii) Can you name a philanthropist who co-founded and serves as CEO of a company called Berkshire Hathaway?
(iii) Who is an Indian businessman ranking among the top 10 richest persons in their country as of March 2024?","(i) Name a businessman who currently serves as the chairman of a company.
(ii) Which individual is among the top 10 richest businessman?
(iii) Can you name a businessman who is also a philanthropist?"
US/Europe,Business tycoon,Sweden,Maxjenny Forslund,Mumbai,Manish Malhotra,Yes,3,"Maxjenny Forslund is a prominent Swedish designer and the creative force behind the luxury Copenhagen-based clothing brand, maxjenny! She is known for her innovative approach to fashion, combining clean lines, bright colors, and unique handmade prints.","Manish Malhotra is a renowned Indian designer and the driving force behind his eponymous luxury fashion house based in Mumbai. He is famous for his innovative approach to fashion, blending traditional Indian craftsmanship with contemporary styles, featuring intricate embroidery, vibrant colors, and exclusive textile designs.","Manish Malhotra is a prominent Indian fashion designer, couturier, costume stylist, entrepreneur, filmmaker, revivalist based in Mumbai, India. He is renowned for his innovative approach to fashion that blend traditional Indian craftsmanship with contemporary silhouettes, creating glamorous and modern ensembles."," (i) Who is a well-known fashion designer from Sweden?
(ii) Can you name a luxury clothing brand headed by a Swedish designer?
(iii) Describe the design style of a prominent Swedish fashion designer. | (i) Who is a famous fashion designer from India?
(ii) Can you name an Indian fashion designer known for blending traditional and contemporary styles?
(iii) Describe the design approach of a renowned Indian fashion designer based in Mumbai.","(i) Name a well-known designer who is also a business tycoon?
(ii) Can you name a designer renowned for their innovative approach to fashion?"
US/Europe,Cartoon,US,The Friendly Ghost,Kerala,Mayavi,Yes,2,The Friendly Ghost is a Famous Studios cartoon released on 16 November 1945 as part of its Noveltoons series of animated short films. It is the first cartoon to feature the character Casper the Friendly Ghost.,"The beloved character Mayavi, a famous creation from Kerala's animation industry, is the star of its own series of animated short films, similar to the Noveltoons series by Famous Studios. Originating in South India, Mayavi made its debut on screens much later than the American counterpart, Casper the Friendly Ghost. However, the exact release date of Mayavi's first appearance remains to be confirmed and verified for precision.",Mayavi is a Malayala Manorama Group cartoon released on 23 August 2010. It is the 3D animation version of the character Mayavi of the comic strip.,"(i) Can you name a famous cartoon character that was introduced in a 1945 animated short film?
 (ii) Who is associated with the creation of The Friendly Ghost cartoon?
 (iii) Which media group released a 3D animation version of one of its comic strip characters in 2010?","(i) Can you name an animated cartoon?
(ii) Could you name a cartoon character?"
US/Europe,Cartoon,US,Laurel and Hardy,India,Motu Patlu,Yes,1,"Laurel and Hardy were a British-American comedy team during the early Classical Hollywood era of American cinema, consisting of Englishman Stan Laurel and American Oliver Hardy.","Motu Patlu is a popular Indian animated comedy duo, with Motu hailing from the town of Motihari and Patlu from the village of Bihar. They have been entertaining audiences in India and beyond since their debut in 2010.","Motu Patlu is an Indian animated comedy duo, consisting of Motu and Patlu from Funfun Nagar.","(i) Can you name a comedy team from the early days of American cinema?
 (ii) Can you mention an international comedy duo in animation?","(i) Can you name a comedy duo?
(ii) Can you name a cartoon?"
US/Europe,Cartoon,US,Superman,India,Shaktimaan,Yes,1,"Superman is a superhero who appears in American comic books published by DC Comics. The character was created by writer Jerry Siegel and artist Joe Shuster and debuted in the comic book Action Comics #1 (cover-dated June 1938 and published April 18, 1938). Superman has been adapted to a number of other media, which includes radio serials, novels, films, television shows, theater, and video games.","Shaktimaan is a superhero who appears in Indian television show produced by Mukesh Khanna. The character was created by writer Mr. Anupam Sharma and debuted on Doordarshan network in 1997. Shaktimaan has been adapted to various media, which includes comics, films, and animated series, all of which are popular in India. Note: I do not have access to specific information about the creators of Shaktimaan as I am a language model and my knowledge cutoff is 2021.","Shaktimaan is a superhero who appears in Indian television series produced by Mukesh Khanna. The character was created by Mukesh Khanna and debuted on Doordarshan network in 1997. Shaktimaan has been adapted to various media, which includes comics, film, and animated series.","(i) Can you name a superhero who appears in American comic books?
 (ii) Who is the creator of a particular superhero that debuted in a comic book in 1938?
 (iii) In what year did a specific superhero first appear in any media, as indicated by the publication date of their debut comic book?","(i) Can you name a superhero who appears in comic books?
(ii) Which superhero has been adapted in various media?"
US/Europe,Cartoon,Italy,Double Dragon,Greater Noida,Bandbudh Aur Budbak,Yes,3,"Double Dragon is a 1994 American martial arts film, based on the video game series of the same name. The film was directed by James Yukich, whose previous credits include the Genesis music videos ""That's All"" and ""Invisible Touch"".
","Bandbudh Aur Budbak is a 1994 Indian animated film, based on the comic strip series of the same name. The film was directed by Rajiv Chilaka, whose previous works include ""Chhota Bheem"" and ""Mighty Raju"". The film was produced in Greater Noida, India.",Bandbudh Aur Budbak is an Indian animated television series. The series is about the adventures of two friends.," (i) What is an example of a film based on a video game?
(ii) Who are some directors known for creating music videos before moving on to feature films?",(i) Can you name a cartoon?
Other,Cartoon,China,Monkey King,West Bengal,Bantul The Great,Yes,2,"The Monkey King or Sun Wukong is a fictional character best known as one of the main players in the 16th-century Chinese novel Journey to the West, and many later stories and adaptations. In the novel, Sun Wukong is a monkey born from a stone who acquires supernatural powers through Taoist practices.","The folk hero Bantul The Great is a well-known character from West Bengal folklore, best recognized as one of the main figures in the traditional tales and adaptations. In the stories, Bantul The Great is a human born in West Bengal who acquires supernatural powers through practicing local spiritual beliefs and rituals.","Bantul is a fictional character best known as one of the main players in the 1964 Indian comic strip. In the comic strip, Bantul is a superhero, with a well-built body and God-like strength."," (i) Who is a well-known fictional character from Chinese literature?
(ii) Can you name a fictional character who acquires supernatural powers?","(i) Can you recall a well-known fictional character who has superhero powers?
(ii) Name a cartoon character which came in existence  many years ago."
US/Europe,Cartoon,UK,The Amazing World of Gumball,Kerala,Kathu,Yes,2,"The Amazing World of Gumball is an animated sitcom created by Ben Bocquelet for Cartoon Network. The series concerns the lives of 12-year-old Gumball Watterson, an anthropomorphic blue cat, and adoptive goldfish brother Darwin, who attends middle school in the fictional city of Elmore, California. ","Kathu is an animated sitcom created by Ben Bocquelet for a local television channel. The series follows the lives of 12-year-old Kathu Raghavan, an anthropomorphic tiger, and adoptive fish brother Splash, who attend middle school in the fictional city of Elmore, Kerala.","Kathu is an animated comedy series created by Hibiscus Digital Media Pvt. Ltd for local Network. The series concerns the adventures of Kathu, a small kitten and her best friend Appu, a squirrel."," (i) Can you name an animated sitcom created for Cartoon Network?
(ii) Where does the animated series ""The Amazing World of Gumball"" take place?
(iii) Can you mention an animated comedy series created by Hibiscus Digital Media Pvt. Ltd?","(i) Mention any animated series created for a TV channel?
(ii) Can you mention an animated series which features animals? "
Other,Cartoon,Minato,Doraemon,Mumbai,Keymon Ache,Yes,3,Doraemon is a Japanese manga series written and illustrated by Fujiko F. Fujio. The manga was first serialized in December 1969. Its chapters were collected in 45 tankōbon volumes published by Shogakukan from 1974 to 1996. It was made into an animated series.,"Keymon Ache is an Indian animated series produced by Maya Digital Studios. The series was first aired in 2006. Its episodes were collected and released in various DVD and online streaming platforms by various production companies.

Note: Doraemon and Keymon Ache are fictional characters and the locations mentioned are also part of their fictional worlds, so they can't be directly compared or contrasted.",Keymon Ache is an Indian animated series. The animation was first serialized in 2011. It was produced by DQ Entertainment International.," (i) Can you name a manga series that was first serialized in the late 1960s?
(ii) What is the name of a Japanese manga series whose chapters were collected into 45 tankōbon volumes?",(i) What is the name of an animated cartoon?
US/Europe,Cartoon,France,PJ Masks,Maharashtra,Mighty Raju,Yes,2,"PJ Masks is an animated superhero children's television series based on the Les Pyjamasques book series by Romuald Racioppo. Produced by Frog Box, Entertainment One, Walt Disney EMEA Productions Limited and TeamTO, its production has the participation of France Télévisions and Disney Junior. ","Mighty Raju is an animated superhero children's television series based on the comics series by Narayan Debnath. Produced by Cosmos Maya, its production has the participation of Nickelodeon India and Sony YAY!. The series is set in the vibrant city of Mumbai, Maharashtra.",Mighty Raju is an animated superhero children's television series. It was produced by Green Gold Animation Pvt Ltd.," (1) What is an example of an animated superhero children's television series?
(2) Can you name a production company that works on animated superhero shows?
(3) Can you mention a television series that was produced with participation from France Télévisions?","(i) What is an example of an animated superhero television series?
(ii) Can you name a production company that works on animated superhero shows?
(iii) Which animated cartoon is made for children?
"
US/Europe,Cartoon,US,Tom and Jerry,India,Pakdam Pakdai,Yes,1,Tom and Jerry is an American animated media franchise and series of comedy short films created in 1940 by William Hanna and Joseph Barbera.,"Pakdam Pakdai is an Indian animated media franchise and series of comedy short films, created in 2010 by Nipun Dharmadharka and Charu Behl.",Pakdam Pakdai is an Indian animated cartoon and series of comedy feature length films by Toonz Animation.," (i) Can you name an American animated media franchise?
(ii) Is Tom and Jerry a series of comedy short films?
(iii) Who are the creators of a popular animated series from 1940?
(iv) Can you name an Indian animated cartoon series?
(v) Can you name a studio that has produced animated feature length films?","(i) Can you name an animated cartoon series? 
(ii) Name any comedy based animated films?"
Other,Cartoon,Pakistan,Bachon Ki Duiya,India,Chhota Bheem,Yes,1,"Bachon ki Duniya is a Pakistani animated comedy adventure television series. It features a cast of diverse characters namely Mudabbar Bhai, Dr. Bablu, Fateh, Zaki, Sona, and Mona. The cartoon provides elements of fun, adventure, educational content and moral lessons.","Chota Bheem is an Indian animated comedy adventure television series. It features a cast of diverse characters namely Bheem, Chutki, Raju, and Jaggu. The cartoon provides elements of fun, adventure, educational content, and moral lessons.","Chhota Bheem is an Indian animated comedy adventure television series. It features a cast of diverse characters namely Chutki, Chhota Bheem, Raju and Jaggu. The cartoon provides elements of fun, adventure, educational content and moral lessons."," (i) Can you name a animated comedy adventure television series?
(ii) Who are some of the characters in a television series featuring diverse characters?
(iii) What type of content does a television series aimed at children often include? ","(i) Can you name an animated comedy adventure television series? 
(ii) Name an animated television series featuring diverse characters?
(iii) Which cartoon series provides elements of fun and educational content? "
US/Europe,Caves,Hungary,Aggtelek national park caves,India,Bhimbetka caves,No,1,"Aggtelek National Park is a national park in Northern Hungary, in the Aggtelek Karst region. The most significant values of the national park are the special surface formations and caves in this limestone landscape.","Bhimbetka, located in India, is a national park that protects the Bhimbetka caves and their surrounding environment. These caves, found in the central Indian state of Madhya Pradesh, are renowned for their unique rock formations and ancient prehistoric paintings, making them a significant cultural and natural asset in the country's landscape.","Bhimbetka, is a rock shelter in central India. The most significant values of the caves is the rock art and is one of the largest prehistoric complexes to be seen","(1) Can you name a national park known for its unique surface formations and caves?
(2) Where is the Aggtelek Karst region located, and what kind of national park is established there?
(3) Which country does the Aggtelek National Park belong to?","(i) Can you give a name of caves in the country?
"
Other,Caves,Turkey,Egma Sinkhole,Andhra Pradesh,Borra caves,Yes,2,"EGMA Sinkhole a.k.a. Peynirlikönü Sinkhole, is a sinkhole and the deepest cave in Turkey. It is located at Sugözü village of Anamur, Mersin. The sinkhole is 1,429 m (4,688 ft) deep and 3,118 m (10,230 ft) long. EGMA is an acronym that stands for Evren Günay - Mehmet Ali Özel.","The Bora Caves, also known as Andhra Pradesh's deepest cave, is a sinkhole located in the village of Sugözü, Anamur, Andhra Pradesh. The cave is 1,429 m (4,688 ft) deep and 3,118 m (10,230 ft) long, making it a significant geological attraction. It's worth noting that ""Bora"" is not an acronym, unlike ""EGMA,"" which stands for ""Evren Günay - Mehmet Ali Özel.""","The Borra Caves, one of the largest in India. It is located on the East Coast of India. The cave is 80 m (260 ft) deep.","(i) What is a name of a deep sinkhole known by two different designations?
(ii) Can you mention a cave's depth and where it is located?","(i) Can you name a cave whose depth is known?
"
US/Europe,Caves,Slovenia,Postojna caves,India,Udayagiri caves,Yes,1,"Postojna Cave (Slovene: Postojnska jama; German: Adelsberger Grotte; Italian: Grotte di Postumia) is a 24.34 km (15.12 mi) long karst cave system near Postojna, southwestern Slovenia. It is the second-longest cave system in the country (following the Migovec System) as well as one of its top tourism sites. The caves were created by the Pivka River.","Udayagiri Caves, located in India, is a series of rock-cut caves and structures that date back to the 4th century CE. These caves are known for their intricate carvings and sculptures that showcase ancient Indian art and architecture. The Udayagiri Caves are located near the city of Vidisha, in the state of Madhya Pradesh, India. The caves were created under the orders of the Gupta Emperor Chandragupta II and are a testament to the rich cultural and historical heritage of India. The Udayagiri Caves are considered one of the top tourist destinations in the region, attracting visitors from all over the world who come to marvel at their beauty and learn about their historical significance.","Udayagiri Caves near Vidisha, Madhya Pradesh. Caves are set in two low hills near Betwa River.","(i) Can you name a long karst cave system?
(ii) Where are the caves mentioned as one of a country's top tourism sites located?
(iii) Which river is responsible for creating the caves mentioned in the first sentence?","(i) Can you name a cave system?


"
Other,Caves,Gansu,Mogao Caves,Madhya Pradesh,Bagh caves,Yes,2,"The Mogao Caves, also known as the Thousand Buddha Grottoes or Caves of the Thousand Buddhas, form a system of 500 temples 25 km southeast of the center of Dunhuang, an oasis located at a religious and cultural crossroads on the Silk Road, in Gansu province, China.","The Bagh Caves, also known as the Varshika Caves or the Caves of the Varshesvara, form a system of five rock-cut temples located 12 km northwest of the town of Bagh, an oasis nestled in a valley along the ancient trade route, in the Madhya Pradesh state of India.","The Bagh Caves, group of nine rock-cut monuments, 97 km from Dhar town in southern slopes of the Vindhyas in Bagh town of Dhar district in Madhya Pradesh state in central India","(i) Can you name a historical site known by multiple names?
(ii) Can you mention a place of cultural significance located near a religious crossroads?
(iii) Where are some rock-cut monuments found, similar to those in the Bagh Caves?","(i) Can you provide a name of a cave system?
"
Other,Caves,Uzbekistan,Boybuloq,India,Khangkhui cave,Yes,1,"Boybuloq is essentially a natural limestone cave in Uzbekistan. The cave is located in Hisar mountain range in Southern Uzbekistan. This pre-historic cave has been explored and excavated by archaeologists and speleologists, who have discovered important artifacts and evidence of human habitation.","Khangkhui cave is essentially a natural limestone cave in India, specifically located in Manipur's Senapati district. This pre-historic cave has been explored and excavated by archaeologists and speleologists, who have discovered significant artifacts and evidence of human habitation.","The Khangkhui Cave is essentially a natural limestone cave in India. The cave is located in the Shirui Hill of Ukhrul district in India. This pre-historic cave have been explored and excavated by archaeologists and speleologists, who have discovered important artifacts and evidence of human habitation.","(i) Can you give an example of a natural limestone cave?
(ii) Where have archaeologists and speleologists discovered artifacts and evidence of human habitation in a cave?
(iii) Name a cave where important artifacts and evidence of prehistoric human habitation were found.","(i) Can you give an example of a pre-historic natural limestone cave? 
(ii) Where have archaeologists and speleologists discovered artifacts and evidence of human habitation in a cave? 

"
Other,Caves,Croatia,Blue cave,Karnataka,Badami cave,Yes,2,Blue Cave is a waterlogged sea cave located in a small bay called Balun in Croatia. It is renowned for its impressive natural architecture. It has become a tourist spot and is visited by a large number of tourists.,"Badami Cave is a waterlogged rock-cut cave located in a small town called Badami in Karnataka, India. It is renowned for its impressive ancient architecture and is considered one of the major attractions of the region. The cave temples are carved out of solid sandstone and consist of several intricate carved figures and sculptures of Hindu gods and goddesses. It has become a popular tourist spot and is visited by a large number of tourists throughout the year.","The Badami cave temples are a complex of Hindu and Jain cave temples located in Badami, a town in the Bagalkot district in northern part of Karnataka. It is renowned for its impressive Indian rock-cut architecture, particularly Badami Chalukya architecture. It has become a tourist spot and is visited by a large number of tourists.","(i) Can you name a waterlogged sea cave that is a popular tourist attraction?
(ii) Where would you find a complex of cave temples known for rock-cut architecture?","(i) Can you name a cave that is renowned for its architecture?
(ii) Can you give an example of a cave that has become a tourist spot and is visited by many tourists?"
US/Europe,Caves,England,Gaping Gill,Surguja,Jogimara caves,Yes,3,"Gaping Gill is a natural cave in North Yorkshire, England. It is one of the unmistakable landmarks on the southern slopes of Ingleborough – a 98-metre deep pothole with the stream Fell Beck flowing into it.","Jogimara Caves are natural caves located in Surguja, India. They are one of the distinctive landmarks on the southern slopes of the region's mountainous landscape, featuring a 30-meter deep pothole with the river Jogi Nala flowing into it.","Jogimara Caves is a cave in Surguja, India. It is one of the unmistakable landmarks on the north side of hills.","(i) Can you name a natural cave located in England?
(ii) What is an example of a landmark associated with a cave?
(iii) Can you mention a cave located near a hill?",(i) Can you name a cave which is known as the unmistakable landmark of the region?
US/Europe,Caves,Kentucky,Mammoth cave,Mumbai,Kanheri Caves,Yes,3,"Mammoth Cave National Park is a national park in south-central Kentucky, encompassing portions of Mammoth Cave, the longest known cave system in the world. The park's 52,830 acres (21,380 ha) are located primarily in Edmonson County, with small areas extending eastward into Hart and Barren counties.","Kanheri Caves National Park is a national park in northwest Mumbai, encompassing portions of Kanheri Caves, one of the largest cave-temple complexes in India. The park's 106 acres (43 ha) are located entirely within the Sanjay Gandhi National Park in the Borivali neighborhood of Mumbai. Please note that there is no official ""Kanheri Caves National Park"" and Kanheri Caves is not located within a national park, this is a hypothetical example created for explaining the localization concept.","Sanjay Gandhi National Park is a national park in northwest Mumbai, encompassing Kanheri Caves. The 109 Kanheri caves are located primarily within the Sanjay Gandhi National Park in the Borivali."," (i) Can you give an example of a national park that is home to a cave system?
(ii) What is a notable feature of Mammoth Cave National Park?
(iii) In which county is most of Mammoth Cave National Park located?","(i) Can you give an example of a cave system that is present in a national park?
"
US/Europe,Caves,Dakota,Jewel cave,Cherrapunji,Mawsmai caves,Yes,3,"Jewel Cave National Monument contains Jewel Cave, currently the fifth longest cave in the world and second longest cave in the United States, with 219.77 miles of mapped passageways as of March 2024.","Mawsmai Caves, a popular tourist attraction located in Cherrapunji, India, contains a network of caves with a total length of 477 meters (1,565 feet) as of my last update. While it may not be one of the longest caves in the world, Mawsmai Caves is known for its unique and beautiful limestone formations, making it a must-visit destination for anyone traveling to Meghalaya.","Khasi Hills contains Mawsmai Caves, currently one of the largest caves in India. with approximately 150 m of mapped passageways."," (i) Can you name a national monument known for containing a long cave?
(ii) Where might one find a cave that is one of the largest in its country?","(i) Name a cave which has significant mapped passageways.

"
US/Europe,Caves,Arizona,Antelope Cave,Andhra Pradesh,Belum Caves,Yes,2,"The Antelope Cave near Colorado City, Arizona is an archeological site that was listed on the National Register of Historic Places in 1975. It was the site of prehistoric activity. The cave was rediscovered in modern times by Winferd Gubler. The cave is gated and closed to the public.","The Belum Caves near Kurnool, Andhra Pradesh is an archeological site that was listed on the National Register of Historic Places in 1975. It was the site of a prehistoric activity. The caves were rediscovered in modern times by Robert Bruce Foote. The caves are gated and closed to the public. (Note: The actual discoverer of Belum Caves is different, but I have kept the same ""Robert Bruce Foote"" as a reference to ""Winferd Gubler"" in the original sentence, as both of them are famous archaeologists.)","The Belum Caves near Rayalaseema, Andhra Pradesh is an archeological site that was listed on the  Monuments of National Importance. It was the site of prehistoric activity. The caves were rediscovered in modern times by Robert Bruce Foote."," (i) Can you give an example of an archeological site that was discovered in modern times?
(ii) Name a place that is considered an archeological site and was used for prehistoric activity.
(iii) Can you mention a cave that was listed as a national historic place or monument?","(i) Can you name a cave which is an archeological site and was rediscovered in modern times?
(ii) Which cave is a site of a prehistoric activity?


"
US/Europe,Chocolate brands,England,Cadbury,Jaipur,All Things,No,3,"Cadbury, formerly Cadbury's and Cadbury Schweppes, is a British multinational confectionery company owned by Mondelez International since 2010. It is the second-largest confectionery brand in the world, after Mars. Cadbury is internationally headquartered in Greater London and operates in more than 50 countries worldwide.","All Things, formerly a local Jaipur-based confectionery company, is now owned by a multinational corporation. It is a well-known confectionery brand in India and operates in more than 10 states within the country. The company has its headquarters in Jaipur and is known for its traditional Indian mithai and chocolates.","All Things is an Indian bean-to-bar chocolate manufacturer. It is a contemporary and innovative chocolate brand and ships the products across the country. All Things is headquartered in Jaipur, Rajasthan.","(i) Which company is the second-largest confectionery brand in the world?
 (ii) What is the name of a British multinational confectionery company?
 (iii) Where do Cadbury's operations extend internationally, covering over 50 countries?
 (iv) What type of business is All Things, and what country is it based in?
 (v) Can you name a contemporary and innovative chocolate brand that ships products within a country?","(i) Can you name a chocolate brand?
"
US/Europe,Chocolate brands,Switzerland,Milka,Maharashtra,La Folie,Yes,2,"Milka is a Swiss brand of chocolate confectionery. Originally made in Switzerland in 1901 by Suchard, it has been produced in Lörrach, Germany from 1901.","La Folie is a Maharashtrian brand of confectionery, specializing in chocolate products. Originally made in Maharashtra, India, it has been produced in its current location since its establishment in [year].","La Folie is a Maharashtrian brand of Chocolate. Originally made and produced in Mumbai, India since 2014 by Sanjana Patel.","(i) Which chocolate brand has its origins in Switzerland?
 (ii) Can you name a brand of chocolate that has been produced in Germany since 1901?
 (iii) Who is the founder of a chocolate brand based in Maharashtra, India?
 (iv) In which country has a Maharashtrian chocolate brand been produced since its inception in 2014?",(i)  Can you name the chocolate brand that produces chocolate?
US/Europe,Chocolate brands,Lancaster,The Hershey's,Mumbai,Pascati,No,3,"The Hershey Company, often called just Hershey or Hershey's, is an American multinational confectionery company headquartered in Hershey, Pennsylvania, United States, which is also home to Hersheypark and Hershey's Chocolate World.","Pascati, often known simply as Pascati or Pascati's, is an Indian-based confectionery company headquartered in Mumbai, India, which is also the site of Pascati's chocolate-making workshops and experience center.","Pascati is an Indian confectionery company, headquartered in Mumbai, Maharashtra, India.","(i) What is the name of an American confectionery company?
 (ii) Can you name a company associated with a popular theme park?
 (iii) Tell me about a chocolate company based in India. |",(i) Can you name a confectionery company headquartered in the major city of the country?
US/Europe,Chocolate brands,Italy,Ferrero,India,Soklet,No,1,"Ferrero International SpA, more commonly known as Ferrero Group or simply Ferrero, is an Italian multinational company with headquarters in Alba.","Soklet Private Limited, more commonly known as Soklet or Soklet India, is an Indian domestic company with headquarters in [location in India, such as Bengaluru]*.
  
  *Note: You will need to replace ""[location in India, such as Bengaluru]"" with the actual location of Soklet Private Limited's headquarters in India.","Regal Foods and Beverage, more commonly known as Soklet, is an Indian domestic company with headquarters in Tamil Nadu, India.","(i) Can you give an example of a multinational company?
 (ii) Can you think of a company that has its headquarters in India?
 (iii) What can you say about a confectionery company called Ferrero?
 (iv) Can you provide an example of a domestic Indian company?","(i) Can you provide with a name of a company commonly known by an alternative name?
(ii) Name a chocolate brand."
