Head-Tail,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions
US/Europe,Airport,Paris,Charles de Gaulle Airport,Guwahati,Lokpriya Gopinath Bordoloi International Airport,No,3,"Paris Charles de Gaulle Airport, also known as Roissy Airport or simply Paris CDG, is the main international airport serving Paris, France. Opened in 1974, it is in Roissy-en-France, 23 km (14 mi) northeast of Paris and is named after World War II statesman Charles de Gaulle (1890-1970), whose initials (CDG) are used as its IATA airport code.","Guwahati's Lokpriya Gopinath Bordoloi International Airport, also known as Borjhar Airport or simply Guwahati LGBI, is the main international airport serving Guwahati, India. Opened in 1958, it is located in Borjhar, 20 km (12.4 mi) west of Guwahati and is named after the Assamese statesman Lokpriya Gopinath Bordoloi (1890Ã¢â‚¬â€œ1970), whose initials (LGB) are used as its IATA airport code.","Guwahati's Lokpriya Gopinath Bordoloi International Airport, is the main international airport serving Guwahati, India. Opened in 1958, it is in Borjhar, 26 km (16 mi) west of Dispur and is named after the Assamese freedom fighter and statesman Lokpriya Gopinath Bordoloi.","(i) Can you name a main international airport serving a major city?
 (ii) What is another name for Paris Charles de Gaulle Airport?
 (iii) Can you identify an airport named after a statesman?","(i) Can you name a main international airport serving a city?
(ii) Can you name an airport which is named after a prominent person?"
US/Europe,Airport,Kansas,Amelia Earhart Airport,Indore,Devi Ahilya Bai Holkar Airport,No,3,"Amelia Earhart Airport is a city-owned airport two miles west of Atchison, in Atchison County, Kansas, United States. It is named for Atchison native Amelia Earhart.","Devi Ahilya Bai Holkar Airport is a city-owned airport, located two miles west of Indore City, in Indore District, Madhya Pradesh, India. It is named after Indore's notable queen, Devi Ahilya Bai Holkar.","Devi Ahilya Bai Holkar Airport is a Airports Authority of India-managed airport, located 5 miles west of Indore, in Madhya Pradesh, India. It is named after Maharani Ahilyabai Holkar of Indore, belonging to the Holkar dynasty of the Maratha Empire.","(i) Can you name an airport that is owned by a city?
 (ii) Who is an airport typically named after?
 (iii) In which country would you find an airport named Devi Ahilya Bai Holkar Airport?
 (iv) Where is Amelia Earhart Airport located in relation to Atchison, Kansas? 
 (v) Can you mention an airport named after a woman? | Here are five questions based on the given pair of sentences. These questions do not include specific details about locations, timings, or unique identifiers connected to either event, making them applicable anywhere.","(i) Can you name an airport located in the west of the city?
(ii) Mention the name of the airport which is named after a prominent female figure of that region."
Other,Amusement park,Queensland,Dreamworld,Tamil Nadu,Black Thunder - Water Theme Park,Yes,2,Dreamworld is a theme park and zoo situated on the Gold Coast in Queensland. It is Australia's biggest theme park with over 40 rides and attractions.,"""Black Thunder - Water Theme Park is a water park located in Tamil Nadu, India. It is Tamil Nadu's biggest water park with over 40 water slides and attractions."" (Note: I assumed Black Thunder - Water Theme Park is the biggest water park in Tamil Nadu, please confirm the accuracy of this statement)",Black Thunder - Water Theme Park is a water park is situated in Coimbatore in Tamil Nadu. It is Tamil Nadu's biggest water park with over 70 rides and attractions.,"(i) Can you name a theme park with numerous rides?
 (ii) Is there a zoo that shares its location with a theme park?
 (ii) Can you think of a large water park in terms of the number of attractions it offers?
 (iv) Can you mention a place known for having both a theme park and a water park?","(i) Can you name a theme park with numerous rides?
(ii) Could you provide the name of one of the biggest amusement park of the region?"
US/Europe,Amusement park,France,Disneyland Park,India,Wonderla,Yes,1,"Disneyland Paris is an entertainment resort in Chessy, France, 32 kilometres east of Paris. It encompasses two theme parks, resort hotels, a shopping, dining and entertainment complex, and a golf course.","Wonderla Bangalore is an entertainment resort in Bengaluru, India, approximately 28 kilometres from the city center. It includes multiple thrill rides, water attractions, theme parks, a shopping and dining complex, and hotel accommodations.","Wonderla Bangalore is an entertainment resort in Bengaluru, India, approximately 28 kilometres from the city center. It includes multiple thrill rides, water attractions, theme parks, a shopping and dining complex and hotel accommodations.","(i) Can you give an example of an entertainment resort?
 (ii) What are some common features found in entertainment resorts?
 (iii) Name a place that has both theme parks and shopping/dining options.","(i) Can you give an example of an entertainment resort?
(ii) Name a place that has both theme park and shopping/dining options."
Other,Amusement park,UAE,Ferrari World Abu Dhabi,Maharashtra,Adlabs Imagica,No,2,"Ferrari World Abu Dhabi is a mostly indoors theme park located on Yas Island in Abu Dhabi, United Arab Emirates. It is the world's first Ferrari-themed park and features Formula Rossa, the world's fastest roller coaster.","Adlabs Imagica is a predominantly indoor theme park located in Khopoli, Maharashtra, India. It is the first of its kind in the country, featuring thrilling rides and attractions inspired by the world of entertainment and fantasy. Instead of Formula Rossa, the park boasts of a unique ride called Nitro, which is one of the largest roller coasters in India.","Adlabs Imagicaa is a theme park located in Khopoli, Maharashtra, India. It is the first of its kind in the country. It is India's First Disney-Style Theme Park.","(i) Can you provide an example of an indoor theme park?
 (ii) Where is the world's first Ferrari-themed park situated?
 (iii) Name a theme park that is similar to a Disney-style park in India. 
 
 These questions are location-independent and should provide a relevant answer from the entities mentioned in the sentences provided.",(i) Could you name a theme park that is first of its kind in the country?
US/Europe,Amusement park,Moscow,Dream Island,Maharashtra,Essel World,Yes,2,Dream Island is an amusement park in Moscow that opened on 29 February 2020. It is the largest indoor theme park in Europe.,"Essel World is a beloved amusement park in Maharashtra, India. Having been established in 1989, it takes pride in being one of the oldest and most popular theme parks in the country. This vibrant entertainment destination offers a wide variety of exciting rides and attractions for all ages, making it a favorite spot for families and friends to create unforgettable memories together. Spread over 64 acres, Essel World boasts a diverse range of both wet and dry rides that cater to thrill-seekers and those who prefer a more relaxed experience. With its convenient location in the bustling city of Mumbai, Essel World continues to be a must-visit destination for both locals and tourists alike.",Essel World is an amusement park in Mumbai that opened in 1989. It is one of the largest amusement parks in India.,"(i) Can you name a large amusement park?
 (ii) What is an example of an indoor theme park?
 (iii) In which year did a certain amusement park open in Moscow?","(i) Can you name one of the largest amusement parks of the region?
"
US/Europe,Amusement park,Netherlands,Efteling,Hyderabad,Surendrapuri Kunda Satyanarayana Kaladhamam,No,3,"Efteling is a fantasy-themed amusement park in Kaatsheuvel, the Netherlands. The attractions reflect elements from ancient myths and legends, fairy tales, fables, and folklore. The park was opened on May 31, 1952.","Surendrapuri Kunda Satyanarayana Kaladhamam is a mythology-themed amusement park in Hyderabad, India. The attractions reflect elements from ancient Indian epics, mythologies, legends, and folklore. The park was inaugurated on December 25, 1995.","Surendrapuri Kunda Satyanarayana Kaladhamam is a mythology-themed amusement park in Hyderabad, India. The attractions reflect elements from ancient Indian epics, mythologies, legends, and folklore. The park was opened in May 2003.","(i) Can you name a fantasy-themed amusement park?
 (ii) Can you give an example of an amusement park inspired by mythologies and folklore?
 (iii) In what year was one fantasy-themed amusement park opened?",(i) Tell me about a themed amusement park which reflects attractions from ancient elements?
Other,Amusement park,Japan,Fuji-Q Highland,Pahalgam,Lidder amusement Park,No,3,"Fuji-Q Highland is an amusement park in Fujiyoshida, Yamanashi, Japan, owned and operated by the namesake Fuji Kyuko Co. it was opened on 2 March 1968. The theme park is near the base of Mount Fuji.","Lidder Amusement Park is an amusement park located in Pahalgam, Jammu and Kashmir, India, owned and operated by the J&K Tourism Development Corporation. It was opened on a yet-to-be-specified date. The theme park is near the banks of the Lidder River, offering a picturesque view of the surrounding mountains.","Lidder Amusement Park is an amusement park in Pahalgam, Jammu and Kashmir, India, operated by the J&K Floriculture Department. It was opened on 5 October 2003. The theme park is near the banks of the Lidder River.","(i) Can you name an amusement park owned and operated by a company with the same name as the park?
 (ii) Where is an amusement park located, that is near the base of a famous mountain?
 (iii) When was an amusement park established near a river, that you can recall?","(i) Can you name an amusement park which has the same name as a natural feature in that area?
"
US/Europe,Amusement park,Texas,Typhoon Texas,Patna,Funtasia Water Park,Yes,3,Typhoon Texas is a series of water parks in Texas. The company currently operates two locations in Austin and in Katy.,"Funtasia Water Park is a popular water park in Patna. The company currently operates a single location in Patna, providing endless fun and entertainment to visitors of all ages.",Funtasia Water Park is a water park in Patna. The company currently operates a single location in Patna.,"(i) Can you give an example of a company that operates water parks?
 (ii) Is there a water park to be found in the state of Texas?
 (iii) Can you name a place that operates multiple water parks?
 (iv) Mention a water park that is located in Patna? |
 | Sure, I can generate those questions for you:
 (i) Can you give an example of a company that operates water parks?
 (ii) Is there a water park to be found in the state of Texas?
 (iii) Can you name a place that operates multiple water parks?
 (iv) Mention a water park that is located in Patna? |","(i) Can you give an example of a water park?
(ii) Can you give an example of an amusement park which is located in the state capital?
"
US/Europe,Amusement park,Italy,Gardaland Resort,Mysore,GRS Fantasy Park,Yes,3,"Gardaland Resort is a fantasy- amusement park resort located in northeastern Italy. It has more than 40 rides including water rides and shows to satisfy the needs of everyone: families with children, young adrenaline lovers and adults who love to dive into a fantasy world","Target Entity: GRS Fantasy Park
 Target Entity Location: Mysore, India
 
 Modified Sentence: GRS Fantasy Park is a fantasy amusement park resort situated in the cultural city of Mysore, India. It boasts of more than 40 rides, including water rides and entertaining shows, designed to cater to the varied preferences of everyone: families with children, young adventure seekers, and adults who love to immerse themselves in a world of fantasy.","GRS Fantasy Park is a fantasy- amusement park located in Mysore. It has more than 50 rides including water rides to satisfy the needs of everyone: families with children, young adrenaline lovers and adults who love to dive into a fantasy world"," (i) Can you name a fantasy-themed amusement park?
(ii) What kind of rides would I find at a fantasy-themed amusement park?
(iii) Where could I find an amusement park resort with over 40 rides including water rides?","(i) Can you name a fantasy-themed amusement park that has water rides?
(ii) Which fantasy park satisfy the needs of everyone: families with children, young adrenaline lovers and adults?"
Other,Amusement park,Dubai,Wonderland,India,Appu Ghar,No,1,"Wonderland is an amusement park located In Dubai, UAE. It is designed for kids of all ages. Wonderland includes both the Wonderland Theme Park and Splashland—a water park spanning 22 acres. It offers more than 30 rides and attractions.","Appu Ghar is an amusement park located in India, specifically in New Delhi. It is designed for children of all ages and offers more than 30 rides and attractions. The park includes both Appu Ghar Theme Park and Water World - a water park spanning 12 acres, providing entertainment and joy for families and children seeking fun and excitement.","Appu Ghar is an amusement park located in Gurgaon, Haryana, India. It is designed for kids and adults of all ages. Appu Ghar is a water park spanning 12 acres. It offers more than 12 rides and attractions."," (i) Can you give an example of an amusement park?
(ii) What kind of place is designed for all ages to enjoy, which includes both a theme park and a water park?
(iii) Where can one find an amusement park with over 30 rides and attractions?","(i) Can you give example of an amusement park designed for all ages?
(ii) Name an amusement park that has a water park?
(iii) Which amusement park offers many rides and attractions?"
US/Europe,Amusement park,Denmark,Tivoli Gardens,India,Nicco Park,Yes,1,"Tivoli Gardens, also known simply as Tivoli, is an amusement park and pleasure garden in Copenhagen, Denmark. The park opened on 15 August 1843 and is the third-oldest operating amusement park in the world. Tivoli is the most visited amusement park in Scandinavia. The park is best known for its wooden roller coaster, Rutschebanen, or as some people call it, Bjergbanen","Nicco Park, also known simply as Nicco, is an amusement park and pleasure garden in Kolkata, India. The park opened on 15 August 1991 and is one of the oldest operating amusement parks in India. Nicco Park is the most visited amusement park in Eastern India. The park is best known for its wooden roller coaster, Toy Train, or as some people call it, Joyland Express.","Nicco Park is an amusement park in Kolkata, West Bengal, India. The park opened on 13 October 1991 and is the oldest operating amusement park in West Bengal. The park is best known for its roller coaster, Cyclone."," (i) Can you name an amusement park that has been operating for over a century?
(ii) Which park is often referred to by a shorter name, ""Tivoli""?
(iii) What is one of the oldest amusement parks in the world, located in Denmark?
(iv) Name a park known for its Cyclone roller coaster.
(v) Where would you find Nicco Park, an amusement park in India?","(i) Can you name one of the oldest amusement park of the region?
(ii) Which amusement park is best known for its roller coaster?
(iii) Name a well known roller coaster of a famous amusement park?
"
US/Europe,Artificial satellite,France,Sentinel-3,India,Bhaskara II,No,2,"Sentinel-3 is an Earth observation heavy satellite series developed by the European Space Agency as part of the Copernicus Programme. It currently consists of 2 satellites: Sentinel-3A and Sentinel-3B. After initial commissioning, each satellite was handed over to EUMETSAT for the routine operations phase of the mission.","Bhaskara II is a series of Earth observation satellites developed by the Indian Space Research Organisation (ISRO) as part of its operational satellite program. It currently consists of one satellite, Bhaskara II, which was launched in 1981. After initial commissioning, the satellite was handed over to the India Meteorological Department (IMD) for the routine operations phase of the mission.",Bhaskara II is an Earth observation satellite series developed by the Indian Space Research Organisation (ISRO) as a part of its operational satellite program. Bhaskara currently consists of 2 satellites: Bhaskara I and Bhaskara II.,"(i) Can you provide an example of an Earth observation satellite series?
 (ii) Which agency developed the Sentinel-3 series as part of the Copernicus Programme?
 (ii) How many satellites are there currently in the Sentinel-3 series?
 (iv) Which organization is responsible for the routine operations phase of the Sentinel-3 mission?
 (v) Can you name another Earth observation satellite series, this time developed by the Indian Space Research Organisation (ISRO)?
 (vi) How many satellites are there in the Bhaskara II series?","(i) Can you provide an example of an Earth observation satellite?
(ii) Mention the name of sn earth observation satellite that consists of two satellites?"
Other,Artificial satellite,Japan,Himawari 8,India,INSAT 3D,Yes,1,"Himawari 8 is a Japanese weather satellite, the 8th of the Himawari geostationary weather satellites operated by the Japan Meteorological Agency.","INSAT 3D is an Indian weather satellite, the 3rd in the series of INSAT geostationary weather satellites operated by the India Meteorological Department.","INSAT-3D is an Indian weather satellite, the 5th in the series of the INSAT-3 geostationary weather satellites operated by the Indian Space Research Organisation.","(i) Can you name a weather satellite operated by a Japanese agency?
 (ii) Which geostationary weather satellite is the 8th in a series launched by Japan?
 (iii) Is there a weather satellite that is part of a series run by the Indian Space Research Organisation?
 (iv) Can you tell me about a geostationary satellite used for meteorological purposes?","(i) Who operates a geostationary weather satellite?
(ii) Mention a weather satellite which is a part of a geostationary weather satellite series."
Other,Artificial satellite,South Korea,Danuri,India,Chandrayaan -1,No,1,"The Korea Pathfinder Lunar Orbiter, officially Danuri, is South Korea's first lunar orbiter. The orbiter, its science payload and ground control infrastructure are technology demonstrators.","The Indian lunar orbiter, officially Chandrayaan-1, was India's first mission to the moon. The orbiter, its science payload, and ground control infrastructure were all technological demonstrators for India.","The Indian lunar orbiter, officially Chandrayaan-1, is India's first lunar orbiter and Impactor. The orbiter, its science payload, and ground control infrastructure were all technological demonstrators for India.","(i) Can you name a country's first lunar orbiter?
 (ii) What is the name of a space mission that demonstrates technology for a country's lunar exploration?
 (iii) Identify an orbiter that serves as a technology demonstrator for its country's lunar mission?","(i) Can you name a country's first lunar orbiter?
(ii) What is the name of a space mission that demonstrates technology for a country's lunar exploration?"
US/Europe,Artificial satellite,US,Mars Reconnaissance Orbiter,India,MOM,No,1,"The Mars Reconnaissance Orbiter is a spacecraft designed to search for the existence of water on Mars and provide support for missions to Mars, as part of NASA's Mars Exploration Program.","The Mars Orbiter Mission (MOM) is a spacecraft designed to search for evidence of water on Mars and provide support for future missions to Mars, as part of India's Chandrayaan program.","The Mars Orbiter Mission (MOM) is a spacecraft designed to search for morphology, mineralogy and Martian atmosphere using indigenous scientific instruments on Mars and provides support for future missions to Mars, as part of India's Mangalyaan program.","(i) What is a spacecraft designed to study Mars?
 (ii) Can you mention a spacecraft involved in exploring the planet Mars?
 (iii) Name a spacecraft that supports missions to Mars.
 (iv) Can you recall a spacecraft looking for water on Mars?
 (v) What is a spacecraft launched as part of a nation's exploration program for Mars?
 (vi) Can you think of a spacecraft that is part of India's Mangalyaan program?
 (vii) Name a spacecraft searching for morphology and Martian atmosphere on Mars. | |","(i) Can you mention a spacecraft involved in exploring the planet Mars? 
(ii) Name a spacecraft that provides support for missions to Mars as part of country's Mars program."
US/Europe,Artificial satellite,US,Suomi NPP,Andhra Pradesh,Kalpana -1,Yes,2,"The Suomi National Polar-orbiting Partnership, previously known as the National Polar-orbiting Operational Environmental Satellite System Preparatory Project and NPP-Bridge, is a weather satellite operated by the United States National Oceanic and Atmospheric Administration.","The satellite Kalpana-1, previously known as MetSat-1, was a weather satellite operated by the Indian Space Research Organisation (ISRO) and was launched in 2002 to monitor weather systems and provide data for weather forecasting. It was renamed Kalpana-1 in memory of Dr. Kalpana Chawla, the Indian-American astronaut who tragically lost her life in the Space Shuttle Columbia disaster in 2003. Although Kalpana-1 was not launched by the Andhra Pradesh government, it is still an important satellite for weather monitoring and prediction in India.","The Kalpana-1, previously known as the MetSat-1, was a meteorological weather satellite operated by the Indian Space Research Organisation.","(i) What is a name of a weather satellite operated by the US?
 (ii) Can you mention a weather satellite that was previously known by a different name?
 (iii) Which organization operates the Suomi National Polar-orbiting Partnership satellite?","(i) Can you mention a weather satellite that was previously known by a different name?
"
US/Europe,Artificial satellite,Netherlands,ANS,India,Aryabhata,No,1,"The Astronomical Netherlands Satellite (ANS; also known as Astronomische Nederlandse Satelliet), was the first Dutch satellite. It was developed by Netherlands Institute for Space Research (NIVR) and launched from United States.","The satellite Aryabhata, named after the famous Indian astronomer, was the first Indian satellite. It was developed by the Indian Space Research Organisation (ISRO) and launched from Russia.",The Aryabhata satellite was the first Indian satellite. It was developed by the Indian Space Research Organisation (ISRO) and launched from Russia.," (i) Which was the first satellite developed by the Netherlands Institute for Space Research?
(ii) Can you name a satellite launched with assistance from the United States but developed by a European country?
(iii) Which was the first satellite developed by the Indian Space Research Organisation?
(iv) Can you mention a satellite launched from Russia but developed by an Asian country?","(i) Which satellite was the first satellite developed by the country?
(ii) Name a satellite which was developed  by a country but was launched from another country."
US/Europe,Artificial satellite,US,Aura,India,CARTOSAT-3,Yes,1,"Aura (EOS CH-1) is a multi-national NASA earth obervation satellite in orbit around the Earth. Its uses include studying the Earth's ozone layer, air quality and climate","CARTOSAT-3 (EOS-01) is a multi-national earth observation satellite owned by India and launched by ISRO (Indian Space Research Organisation). It orbits the Earth, focusing on studying and gathering data about India's land use, mapping resources, monitoring environmental changes, and providing high-resolution imagery for various applications, including disaster management and urban planning.","CARTOSAT-3 is an advanced earth observation satellite in orbit around the Earth. It's uses include studying the gathering data about India's land use weather mapping, mapping resources, monitoring environmental changes."," (i) Can you give an example of a multi-national Earth observation satellite?
(ii) What's an example of a satellite used for studying air quality?
(iii) Can you name a satellite with capabilities for weather mapping?","(i) Can you give an example of a Earth observation satellite?
(ii) What's an example of a satellite in orbit around the Earth?"
Other,Artificial satellite,Australia,Jabiru-1,Mumbai,Exseedsat-1,No,1,"Jabiru-1 is the Australian privately-funded satellite which was successfully launched into space. It is first satellite in the series of the Jabiru satellite programme, which is intended to provide new and raw capacity coverage to the high-demand communication market.","Exseedsat-1 is the Mumbai-based privately-funded satellite, which was successfully launched into space. It is the first satellite in the series of the Exseedsat satellite program, which is intended to provide new and raw capacity coverage to the high-demand communication market in India.","Exseedsat-1 is an Indian privately-funded satellite, which was successfully launched into space. It is the first satellite in the series of the Exseedsat satellite programme, which is intended to serve the amateur radio community and provide new and raw capacity coverage to the high-demand communication market."," (i) Can you name a privately-funded satellite launched into space?
(ii) Can you mention a satellite that initiated a new satellite program?
(iii) Can you give an example of a satellite providing capacity coverage for high-demand communication markets?","(i) Can you name a privately-funded satellite launched into space?
(ii) Can you mention a satellite that intended to provide new and raw capacity coverage to the high-demand communication market?"
US/Europe,Automotive company,US,Ford Motor,India,Tata Motors,Yes,1,"Ford Motor Company is an American multinational automobile manufacturer headquartered in Dearborn, Michigan, United States. It was founded by Henry Ford and incorporated on June 16, 1903.","Tata Motors is an Indian multinational automobile manufacturing company headquartered in Mumbai, Maharashtra, India. It was founded by Jamsetji Tata and incorporated on August 1, 1945.","Tata Motors Limited is an Indian multinational automobile manufacturer headquartered in Mumbai, Maharashtra, India. It was founded by J. R. D. Tata and incorporated in 1945.","(i) Can you provide an example of a multinational automobile manufacturer?
 (ii) Who are some of the founders of well-known automobile companies?
 (iii) When was one of the world's first automobile manufacturers established?
 (iv) In which continent can you find two multinational automobile manufacturer headquarters, United States and India as examples?","(i) Can you provide an example of a multinational automobile manufacturer?
"
Other,Automotive company,Victoria,Elfin Sports Cars Pty Ltd,Maharashtra,Premier Ltd.,Yes,2,Elfin Sports Cars Pty Ltd is an Australian car manufacturer company that was founded by Garrie Cooper. It has been an Australian manufacturer of sports cars and motor racing cars since 1959.,"Premier Ltd. is a Maharashtrian automobile manufacturing company that was established by Seth Shri Kirti M. Kosthi. It has been a prominent manufacturer of commercial vehicles, multi-utility vehicles, and cars in India since 1944.","Premier Ltd. was an Indian automobile manufacturer company that was established by Walchand Group. It was a prominent manufacturer of commercial vehicles, multi-utility vehicles, and cars in India since 1944.","(i) Can you provide an example of a company that manufactures sports cars?
 (ii) Who are some of the founders of car manufacturing companies?
 (iii) Name a company that has been manufacturing cars since the 1950s.
 (iv) In which continent would you find an automobile manufacturer called Elfin Sports Cars Pty Ltd?
 (v) Can you think of a country with an automobile manufacturer called Premier Ltd., besides Germany and Japan?","(i) Can you name a vehicle manufacturing company which was established many years ago?
"
US/Europe,Automotive company,US,General Motors,India,Maruti Suzuki,No,1,"General Motors Company is an American multinational automotive manufacturing company headquartered in Detroit, Michigan, United States. The company is mostly known for owning and manufacturing four automobile brands, Chevrolet, GMC, Cadillac and Buick.","Maruti Suzuki India Limited is an Indian multinational automotive manufacturing company headquartered in New Delhi, India. The company is most known for owning and manufacturing popular automobile brands, such as Maruti Suzuki, Suzuki, and Baleno.","Maruti Suzuki India Limited is an Indian multinational automotive manufacturing company headquartered in New Delhi, India. The company is mostly known for owning and manufacturing popular automobile brands, such as Maruti Suzuki, Suzuki, and Nexa.","(i) Can you name a multinational automotive manufacturing company?
 (ii) Which company is known for manufacturing popular automobile brands? | (iii) What is a company that owns and manufactures multiple automobile brands?","(i) Can you name a mu;tinational automotive manufacturing company?
(ii) Which company is known for manufacturing popular automobile brands?
"
US/Europe,Automotive company,Amsterdam,Stellantis,Mumbai,Mahindra & Mahindra,Yes,3,Stellantis N.V. is a multinational automotive manufacturing corporation formed from the merger in 2021 of the Italian-American conglomerate Fiat Chrysler Automobiles and the French PSA Group. The company is headquartered in Amsterdam.,"Mahindra & Mahindra Limited is a multinational automotive manufacturing corporation based in India, known for its expertise in the design, development, and manufacture of automobiles. The company has its headquarters in Mumbai, India. (The source entity 'Stellantis N.V.' is replaced with the target entity 'Mahindra & Mahindra Limited'. Additionally, the location 'Amsterdam' is changed to 'Mumbai', which is factually correct for the target entity.)","Mahindra & Mahindra Limited is a multinational automotive manufacturing corporation and was formed by partnership in 1945 of Mahindra brothers with Malik Ghulam Mohammed as Mahindra & Mohammed. The company is headquartered in Mumbai, India.","(i) Can you name a multinational automotive manufacturing corporation?
 (ii) When was one large automotive manufacturing corporation formed by the merger of two smaller ones?
 (ii) Where is the headquarters of Stellantis N.V., the corporation formed by the merger of Fiat Chrysler Automobiles and PSA Group?
 (iv) What kind of company is Mahindra & Mahindra Limited?
 (v) In which city does Mahindra & Mahindra Limited have its headquarters?","(i) Can you name a multinational automotive manufacturing corporation?
(ii) Name a automobille manufacturing company headquartered in the major city of the country."
Other,Automotive company,Beijing,"Beijing Automotive Group Co., Ltd",Thiruvananthapuram,Kerala Automobiles Limited,Yes,3,"Beijing Automotive Group Co., Ltd. is a Chinese state-owned automobile manufacturer headquartered in Shunyi, Beijing. Founded in 1958, it is the sixth largest automobile manufacturer in China, with 1.723 million sales in 2021.","Kerala Automobiles Limited is a state-owned automobile manufacturer based in Thiruvananthapuram, India. Unlike Beijing Automotive Group Co., Ltd., it is not one of the largest manufacturers in the country, with sales figures much lower than 1.723 million in 2","Kerala Automobiles Limited is a state-owned automobile manufacturer based in Thiruvananthapuram, Kerala. The company was founded in 1978.","(i) What is an example of a state-owned automobile manufacturer?
 (ii) Can you name a company involved in automobile manufacturing founded in the 1950s or 1970s?
 (iii) Which Chinese company ranks among the top automobile manufacturers with over 1 million sales?","(i) What is an example of a state-owned automobile manufacturer? 
(ii) Can you name an automobile company whose name contains the name of a place?"
US/Europe,Automotive company,Italy,Lamborghini,India,Hradyesh,Yes,1,Automobili Lamborghini S.p.A. is an Italian manufacturer of luxury sports cars and SUVs based in Sant'Agata Bolognese. The company is owned by the Volkswagen Group through its subsidiary Audi.,Hradyesh Automobiles Pvt. Ltd. is an Indian manufacturer of luxury sports cars and SUVs based in New Delhi. The company is privately owned by the Patel family.,Hradyesh is an Indian manufacturer of luxury cars and SUVs based in New Delhi. The company is privately owned by the Hradyesh Kumar Namdeo.,"(i) Can you name a luxury car manufacturer based in Italy?
 (ii) Which company is the parent organization of Automobili Lamborghini S.p.A.?
 (iii) Who are some examples of privately-owned luxury car manufacturers?","(i) Can you name a manufacturer of luxury cars?
(ii) Can you name an automobile company which manufactures SUVs?"
Other,Automotive company,Algeria,SNVI,India,Eicher Motors,Yes,1,"SNVI, formerly the National Society of Mechanical Construction, is an Algerian company that has produced trucks and buses since 1967.","Eicher Motors, previously known as Royal Enfield Motors Limited, is an Indian company that has been manufacturing trucks and buses since 1959.",Eicher Motors Limited is an Indian company that has produced motorcycles and commercial vehicles since 1948.,"(i) Can you name a company that has been producing trucks and buses since 1967?
 (ii) Mention an Algerian company involved in the production of vehicles.
 (iii) Can you recall a company that has been manufacturing commercial vehicles for many years?
 (iv) Tell me about a company that produces both trucks and buses. |
 | Correct Questions: |
 | (i) Can you name a company that has been producing trucks and buses since 1967? |
 | (ii) Mention an Algerian company involved in the production of vehicles. |
 | (iii) Can you recall a company that has been manufacturing commercial vehicles for many years? |
 | (iv) Tell me about a company that produces both trucks and buses. |
 | Incorrect Questions: |
 | (i) Which Algerian company has been producing trucks and buses under the name SNVI since 1967? |
 | (ii) Who is Eicher Motors Limited, and when did they begin manufacturing commercial vehicles? |
 | (iii) In which year did SNVI start producing trucks and buses? |
 | (iv) Can you name the Indian company that has been manufacturing motorcycles along with commercial vehicles since 1948? |",(i)  Can you provide an example of a company which is manufacturing automobiles for many years?
US/Europe,Automotive company,Texas,Tesla,Tamil Nadu,Ashok Leyland,Yes,2,"Tesla, Inc. is an American multinational automotive and clean energy company headquartered in Austin, Texas, which designs, manufactures and sells electric vehicles, stationary battery energy storage devices from home to grid-scale, solar panels and solar shingles, and related products and services.","Ashok Leyland is an Indian multinational automotive company headquartered in Chennai, Tamil Nadu, which designs, manufactures, and sells commercial vehicles, buses, trucks, defense vehicles, and related components. They are a significant player in the clean energy space as well, with their range of electric and hybrid vehicles, but their primary focus remains on heavy-duty machinery and transportation solutions.","Ashok Leyland is an Indian multinational automotive company headquartered in Chennai, Tamil Nadu, which designs, manufactures, and sells commercial vehicles, buses, trucks, defense vehicles, and related components.","(i) Can you name an American company that specializes in electric vehicles and clean energy technology?
 (ii) What kind of products does this particular company based in Texas manufacture and sell?
 (iii) Can you provide an example of a multinational automotive company outside of India?","(i) Can you name a multinational automative company headquartered in a major city?
(ii) Name the automative company that designs, manufactures and sells vehicles and related components or services.
"
Other,Automotive company,China,Dongfeng Motor Corporation Ltd.,India,Force Motors Ltd,Yes,1,"Dongfeng Motor Corporation Ltd. develops and markets vehicles under its own branding. In addition to commercial and consumer vehicles, it also manufactures parts, collaborates with foreign companies, and serves a global market.","Force Motors Ltd., based in India, develops and markets vehicles under its own branding. In addition to commercial and consumer vehicles, it also manufactures parts, collaborates with foreign companies, and serves the global market.","Force Motors Ltd. develops and markets vehicles under its own branding. In addition to commercial and consumer vehicles, it also manufactures a large variety of die-cast aluminum parts and collaborates with foreign companies and serves a global market."," (i) Can you name a company that develops and markets vehicles under its own branding?
(ii) What kind of products does a company in the vehicle manufacturing industry typically produce, apart from vehicles themselves?
(iii) Which types of companies might collaborate with vehicle manufacturers?","(i) Can you name a company that develops and markets vehicles under its own branding?
(ii) Name a motor company that collaborates with foreign companies.
(iii) Can you provide with a name of an automobile company that manufactures commercial as well as consumer vehicles?
(iv) Mention the name of a automobile company that serves the global market."
